anchor,method,metric,rate_axis,interpolation,common_rate_min_kbps,common_rate_max_kbps,status,reason,BD_rate_percent,common_metric_min,common_metric_max,integration,formula
original,v3,LPIPS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,271.1022939560441,valid,,-28.278969198367022,0.17310408844302097,0.20895852559867004,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,v3,DISTS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,271.1022939560441,valid,,-23.500531202490755,0.10046170062075059,0.1181456654643019,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,v3,FloLPIPS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,271.1022939560441,valid,,-26.04731005142522,0.17756842691651595,0.21855508540106075,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,v4_10000,LPIPS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,244.53881493506498,valid,,-40.55669147974838,0.17310408844302097,0.20200396775423238,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,v4_10000,DISTS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,244.53881493506498,valid,,-16.672720553006336,0.10165789723396301,0.12146914439896743,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,v4_10000,FloLPIPS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,244.53881493506498,valid,,-37.02354000114095,0.17756842691651595,0.2138231053387606,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,v4_15000,LPIPS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,243.45071928071928,valid,,-44.00510064861912,0.17310408844302097,0.19773383939173073,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,v4_15000,DISTS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,243.45071928071928,valid,,-22.74193291580098,0.10061073675751686,0.11935314287741979,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,v4_15000,FloLPIPS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,243.45071928071928,valid,,-42.36965676645982,0.17756842691651595,0.20707209900982915,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,v4_20000,LPIPS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,238.6199762737263,valid,,-46.76571213450692,0.17310408844302097,0.19661743267594525,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,v4_20000,DISTS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,238.6199762737263,valid,,-17.875834503068468,0.10129519707212846,0.12109643872827291,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,v4_20000,FloLPIPS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,238.6199762737263,valid,,-44.951932289960276,0.17756842691651595,0.20597588499226874,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
