anchor,method,qp,mean_real_kbps,mean_rate_change_percent,aggregation,LPIPS_change,DISTS_change,FloLPIPS_change
original,v3,0,117.06917957042957,-4.200511624801917,ratio of arithmetic mean real kbps across matched video/QP points,-0.0174823603592813,-0.006797703603903457,-0.016675244896642627
original,v3,1,154.630501998002,-2.738857693100538,ratio of arithmetic mean real kbps across matched video/QP points,-0.018933205826518446,-0.006580979252854974,-0.01869422033108689
original,v3,2,206.15325174825173,-5.6753171508625355,ratio of arithmetic mean real kbps across matched video/QP points,-0.016188601808001607,-0.005271624152859047,-0.015486562464346154
original,v3,3,271.102293956044,-6.683097731119981,ratio of arithmetic mean real kbps across matched video/QP points,-0.015124217063809425,-0.00585785197714965,-0.013613932635835435
original,v3,all,187.2388068181818,-5.2269861933368915,ratio of arithmetic mean real kbps across matched video/QP points,-0.016932096264402702,-0.006127039746691779,-0.016117490081977798
original,v4_10000,0,107.19405344655343,-12.281477373252802,ratio of arithmetic mean real kbps across matched video/QP points,-0.02443691820371896,-0.003474224669237927,-0.02140722495894279
original,v4_10000,1,144.76680819180817,-8.943029021266414,ratio of arithmetic mean real kbps across matched video/QP points,-0.025856981053948402,-0.0021858193601171083,-0.02481611485603033
original,v4_10000,2,185.26797827172825,-15.231299315511016,ratio of arithmetic mean real kbps across matched video/QP points,-0.020851726022859424,-0.0008158935233950615,-0.01922975953227729
original,v4_10000,3,244.53881493506492,-15.826589435118843,ratio of arithmetic mean real kbps across matched video/QP points,-0.018343365479571105,0.0011961966132124219,-0.01620470201696761
original,v4_10000,all,170.44191371128872,-13.72892128564086,ratio of arithmetic mean real kbps across matched video/QP points,-0.022372247690024494,-0.0013199352348844118,-0.020414450341054546
original,v4_15000,0,107.99527097902097,-11.625828892847656,ratio of arithmetic mean real kbps across matched video/QP points,-0.028707046566220612,-0.005590226190785572,-0.02815823128787423
original,v4_15000,1,146.12446303696305,-8.089076797144646,ratio of arithmetic mean real kbps across matched video/QP points,-0.029819188872352242,-0.0050046726440389905,-0.031068495685054348
original,v4_15000,2,184.38845654345653,-15.633721335899342,ratio of arithmetic mean real kbps across matched video/QP points,-0.023439753994656115,-0.002036338051160172,-0.023060437271832157
original,v4_15000,3,243.4507192807193,-16.20112597759541,ratio of arithmetic mean real kbps across matched video/QP points,-0.02148575021419674,0.00014903613676627014,-0.021185111414681213
original,v4_15000,all,170.48972746003994,-13.704719822559818,ratio of arithmetic mean real kbps across matched video/QP points,-0.025862934911856428,-0.003120550187304616,-0.025868068914860487
original,v4_20000,0,105.3782554945055,-13.767372426393354,ratio of arithmetic mean real kbps across matched video/QP points,-0.029823453282006085,-0.0038469303399324417,-0.02925444530543464
original,v4_20000,1,141.74984515484516,-10.840670608671378,ratio of arithmetic mean real kbps across matched video/QP points,-0.031192437318774552,-0.0018812812243898663,-0.032179785431713154
original,v4_20000,2,179.92671328671327,-17.67517600167642,ratio of arithmetic mean real kbps across matched video/QP points,-0.024984103821528464,-0.0003396756947040558,-0.02490601452287805
original,v4_20000,3,238.61997627372625,-17.8639299564608,ratio of arithmetic mean real kbps across matched video/QP points,-0.023108907393179834,0.0008334964513778687,-0.021910044034161857
original,v4_20000,all,166.41869755244758,-15.765317089739817,ratio of arithmetic mean real kbps across matched video/QP points,-0.027277225453872234,-0.0013085977019121203,-0.02706257232354692
