method,video_tag,qp,path,sha256,bytes,status
original,fresh_ulong_00,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/original_qp0.bin,5cc416a794a5e1045149867084a2d698d060296238df212bbe2cc05171c6961f,47024,PASS
original,fresh_ulong_00,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/original_qp1.bin,fc99a3ab6fe7472249a201022d1d522e575a4aa3f13271cfc5cf37505355cca6,57653,PASS
original,fresh_ulong_00,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/original_qp2.bin,8803aa44de557839d7f6f3261007e8c5e0919f7bf1a25e1f86abac81ae8c9e83,76829,PASS
original,fresh_ulong_00,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/original_qp3.bin,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,96549,PASS
beta_low,fresh_ulong_00,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/beta_low_qp0.bin,1c9a7daad0933d12618c623f1e1b0d97911012926d2e0aaac8bbbfc3301abc21,43541,PASS
beta_low,fresh_ulong_00,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/beta_low_qp1.bin,661d56271a2a63990224baed748517f7497295cc9ea657ad820c33f9cd5d64d6,54841,PASS
beta_low,fresh_ulong_00,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/beta_low_qp2.bin,02c1472e2c2e734adc15e1b875465774a2c7160fa90183a0d040cdc600afd9ce,70972,PASS
beta_low,fresh_ulong_00,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/beta_low_qp3.bin,400bedffe876f055205cf901b6403f8822ea887bd39a9b6f54e37c5ada4893c4,88562,PASS
v3_beta_low,fresh_ulong_00,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_00/v3_beta_low_qp0.bin,1a51db53c8be5dcaec8a5a5500d23d385a97d90269cc8fda6a9ee777480b3364,46668,PASS
v3_beta_low,fresh_ulong_00,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_00/v3_beta_low_qp1.bin,4f1fbea9fcee793c64d2aead5701f960a7eb98c03cec74767aeb8b3ce9f0cd20,57329,PASS
v3_beta_low,fresh_ulong_00,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_00/v3_beta_low_qp2.bin,9968662e0dda2554075078da4521b8dd4a156e05d66420b256bbcfb356e2d01e,75419,PASS
v3_beta_low,fresh_ulong_00,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_00/v3_beta_low_qp3.bin,564ca4c38bf969b951176f323733bd0a08249b6eae37b753adc66dd0487aed0e,93699,PASS
original,fresh_ulong_01,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/original_qp0.bin,7f739f71db1a1ee125aa4731ee337c022cbb99fe12dfaa13f5b963b99765e835,41938,PASS
original,fresh_ulong_01,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/original_qp1.bin,932734fe8a30e69316f35209b55ab123a58e5f55a0a3e5567bbbc63a7173ad02,52078,PASS
original,fresh_ulong_01,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/original_qp2.bin,aecf25a645ae859999c9339f55b2b2dc923d6530be3a40c81f106d257f2b76da,64056,PASS
original,fresh_ulong_01,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/original_qp3.bin,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,78986,PASS
beta_low,fresh_ulong_01,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/beta_low_qp0.bin,e543c55a9f3486520dd79ddefdc644157179dd8aadc53be9b8ac911c198c7366,39032,PASS
beta_low,fresh_ulong_01,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/beta_low_qp1.bin,a244fe99d5d75512104deb3b84782b35840f7500b0b767f0c1609595886376f9,48977,PASS
beta_low,fresh_ulong_01,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/beta_low_qp2.bin,cdc789b65513a0720ef3e0667a3390a46418b7fcc78930ae8a88db734aa09364,58554,PASS
beta_low,fresh_ulong_01,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/beta_low_qp3.bin,1440bf6e6925075c853818cf6d8f1b3e5515d5fc69dad2d75c503911da6a98bc,72520,PASS
v3_beta_low,fresh_ulong_01,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_01/v3_beta_low_qp0.bin,385407a40bf481d4e7e02c758c8e20fab114b552f54559d6944b7df2b1fdc6cc,39679,PASS
v3_beta_low,fresh_ulong_01,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_01/v3_beta_low_qp1.bin,f0000604a4ad033b4226ae77a113ad6610cdf333ca36943e850d074509682188,50025,PASS
v3_beta_low,fresh_ulong_01,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_01/v3_beta_low_qp2.bin,381ed7dcfafda76cd11b51c58e02b3033f58ee4716edf5f86150b8541e788be3,59838,PASS
