branch,beta,step,qp,mean_real_kbps,mean_bpp,mean_LPIPS,mean_DISTS,rate_change_percent,mean_bitrate_change_percent,LPIPS_change,DISTS_change,rate_lower_count,LPIPS_nonworse_count,DISTS_nonworse_count,triple_nonworse_count,point_count,eligible,selected
beta_low,8.651391137770222,0,all,187.2388068181818,0.0030102840470679014,0.18243741535115987,0.10580941033549607,-5.226986193336868,-3.8506809977175087,-0.016932096264402702,-0.006127039746691779,21,24,20,17,24,True,False
beta_low,8.651391137770222,1000,all,190.33681537212786,0.003060081701710391,0.1764572240257015,0.10471809981390834,-3.658894554399017,-2.625231965981531,-0.02291228758986108,-0.007218350268279508,19,24,22,17,24,True,False
beta_low,8.651391137770222,2000,all,187.29923576423576,0.0030112485532407408,0.17418711912857057,0.10470570515220363,-5.196399407210562,-3.8939391294977503,-0.025182392486992,-0.007230744929984212,20,24,23,20,24,True,False
beta_low,8.651391137770222,5000,all,191.01698894855144,0.0030710127716692386,0.16867893898355155,0.10349281427140038,-3.3146171001428915,-2.4972506765003217,-0.030690572632011026,-0.00844363581078747,18,24,23,18,24,True,False
beta_low,8.651391137770222,10000,all,189.9188246128871,0.003053355275848765,0.16548079386120662,0.10527581263644,-3.8704652467664857,-3.0440212244686955,-0.03388871775435595,-0.006660637445747852,20,24,16,16,24,True,False
beta_mid,11.535188183693629,0,all,187.2388068181818,0.0030102840470679014,0.18243741535115987,0.10580941033549607,-5.226986193336868,-3.8506809977175087,-0.016932096264402702,-0.006127039746691779,21,24,20,17,24,True,False
beta_mid,11.535188183693629,1000,all,186.2151439185814,0.002993822137024177,0.1808344510839864,0.10779690238026281,-5.745124605804996,-4.404591417778513,-0.018535060531576164,-0.004139547701925039,20,24,18,14,24,True,False
beta_mid,11.535188183693629,2000,all,184.72298857392607,0.0029698300459747944,0.1766558572659657,0.10662866050067048,-6.500395703094275,-5.135634583924451,-0.02271365434959688,-0.005307789581517369,20,24,22,18,24,True,False
beta_mid,11.535188183693629,5000,all,181.82852491258743,0.002923297646604938,0.17159252007938144,0.1067707019392401,-7.965460820740045,-6.255392630798807,-0.027776991536181128,-0.005165748142947749,22,24,19,19,24,True,False
beta_mid,11.535188183693629,10000,all,185.27508366633367,0.002978701493377058,0.16663788972073235,0.10399929760023952,-6.220946604349786,-5.145363986169183,-0.032731621894830226,-0.007937152481948331,20,24,19,18,24,True,False
beta_high,17.302782275540444,0,all,187.2388068181818,0.0030102840470679014,0.18243741535115987,0.10580941033549607,-5.226986193336868,-3.8506809977175087,-0.016932096264402702,-0.006127039746691779,21,24,20,17,24,True,False
beta_high,17.302782275540444,1000,all,178.4034671578422,0.0028682454427083333,0.18417096924774037,0.10943813319317997,-9.69909206628785,-7.404614177907941,-0.015198542367822199,-0.0024983168890078816,24,22,16,15,24,True,False
beta_high,17.302782275540444,2000,all,179.25781905594405,0.002881974585262346,0.17892740951598776,0.10878585760171215,-9.266652308683632,-7.691988770845565,-0.02044210209957481,-0.0031505924804756946,24,23,15,15,24,True,False
beta_high,17.302782275540444,5000,all,174.1132910839161,0.002799268180941358,0.17590629349191053,0.10702085766630869,-11.870612613745912,-9.689633179251752,-0.02346321812365204,-0.004915592415879161,24,21,18,17,24,True,False
beta_high,17.302782275540444,10000,all,170.44191371128872,0.00274024241255144,0.17699726392553808,0.11061651484730343,-13.728921285640839,-11.347577461969033,-0.022372247690024494,-0.0013199352348844118,24,20,12,12,24,True,True
