method,video_tag,qp,bytes_consumed,status
original,fresh_ulong_00,0,47024,PASS
original,fresh_ulong_00,1,57653,PASS
original,fresh_ulong_00,2,76829,PASS
original,fresh_ulong_00,3,96549,PASS
beta_low,fresh_ulong_00,0,43541,PASS
beta_low,fresh_ulong_00,1,54841,PASS
beta_low,fresh_ulong_00,2,70972,PASS
beta_low,fresh_ulong_00,3,88562,PASS
v3_beta_low,fresh_ulong_00,0,46668,PASS
v3_beta_low,fresh_ulong_00,1,57329,PASS
v3_beta_low,fresh_ulong_00,2,75419,PASS
v3_beta_low,fresh_ulong_00,3,93699,PASS
original,fresh_ulong_01,0,41938,PASS
original,fresh_ulong_01,1,52078,PASS
original,fresh_ulong_01,2,64056,PASS
original,fresh_ulong_01,3,78986,PASS
beta_low,fresh_ulong_01,0,39032,PASS
beta_low,fresh_ulong_01,1,48977,PASS
beta_low,fresh_ulong_01,2,58554,PASS
beta_low,fresh_ulong_01,3,72520,PASS
v3_beta_low,fresh_ulong_01,0,39679,PASS
v3_beta_low,fresh_ulong_01,1,50025,PASS
v3_beta_low,fresh_ulong_01,2,59838,PASS
v3_beta_low,fresh_ulong_01,3,74631,PASS
original,fresh_ulong_10,0,27630,PASS
original,fresh_ulong_10,1,35312,PASS
original,fresh_ulong_10,2,45636,PASS
original,fresh_ulong_10,3,60467,PASS
beta_low,fresh_ulong_10,0,25289,PASS
beta_low,fresh_ulong_10,1,31979,PASS
beta_low,fresh_ulong_10,2,40463,PASS
beta_low,fresh_ulong_10,3,50857,PASS
v3_beta_low,fresh_ulong_10,0,26920,PASS
v3_beta_low,fresh_ulong_10,1,34463,PASS
v3_beta_low,fresh_ulong_10,2,43527,PASS
v3_beta_low,fresh_ulong_10,3,56347,PASS
original,fresh_ulong_100,0,21158,PASS
original,fresh_ulong_100,1,27743,PASS
original,fresh_ulong_100,2,36185,PASS
original,fresh_ulong_100,3,47609,PASS
beta_low,fresh_ulong_100,0,19670,PASS
beta_low,fresh_ulong_100,1,25889,PASS
beta_low,fresh_ulong_100,2,33396,PASS
beta_low,fresh_ulong_100,3,43617,PASS
v3_beta_low,fresh_ulong_100,0,20611,PASS
v3_beta_low,fresh_ulong_100,1,27203,PASS
v3_beta_low,fresh_ulong_100,2,35782,PASS
v3_beta_low,fresh_ulong_100,3,47074,PASS
original,fresh_ulong_101,0,34831,PASS
original,fresh_ulong_101,1,50124,PASS
original,fresh_ulong_101,2,71654,PASS
original,fresh_ulong_101,3,98792,PASS
beta_low,fresh_ulong_101,0,28077,PASS
beta_low,fresh_ulong_101,1,40065,PASS
beta_low,fresh_ulong_101,2,56591,PASS
beta_low,fresh_ulong_101,3,78757,PASS
v3_beta_low,fresh_ulong_101,0,30604,PASS
v3_beta_low,fresh_ulong_101,1,42903,PASS
v3_beta_low,fresh_ulong_101,2,60607,PASS
v3_beta_low,fresh_ulong_101,3,83436,PASS
original,fresh_ulong_102,0,19125,PASS
original,fresh_ulong_102,1,24822,PASS
original,fresh_ulong_102,2,32001,PASS
original,fresh_ulong_102,3,41443,PASS
beta_low,fresh_ulong_102,0,17881,PASS
beta_low,fresh_ulong_102,1,23373,PASS
beta_low,fresh_ulong_102,2,29606,PASS
beta_low,fresh_ulong_102,3,38282,PASS
v3_beta_low,fresh_ulong_102,0,18756,PASS
v3_beta_low,fresh_ulong_102,1,24412,PASS
v3_beta_low,fresh_ulong_102,2,31163,PASS
v3_beta_low,fresh_ulong_102,3,40336,PASS
original,fresh_ulong_103,0,44761,PASS
original,fresh_ulong_103,1,55939,PASS
original,fresh_ulong_103,2,71442,PASS
original,fresh_ulong_103,3,90080,PASS
beta_low,fresh_ulong_103,0,40849,PASS
beta_low,fresh_ulong_103,1,50989,PASS
beta_low,fresh_ulong_103,2,64178,PASS
beta_low,fresh_ulong_103,3,80540,PASS
v3_beta_low,fresh_ulong_103,0,42329,PASS
v3_beta_low,fresh_ulong_103,1,52813,PASS
v3_beta_low,fresh_ulong_103,2,66753,PASS
v3_beta_low,fresh_ulong_103,3,83456,PASS
original,fresh_ulong_104,0,28386,PASS
original,fresh_ulong_104,1,37307,PASS
original,fresh_ulong_104,2,48685,PASS
original,fresh_ulong_104,3,63921,PASS
beta_low,fresh_ulong_104,0,25752,PASS
beta_low,fresh_ulong_104,1,33175,PASS
beta_low,fresh_ulong_104,2,42011,PASS
beta_low,fresh_ulong_104,3,53955,PASS
v3_beta_low,fresh_ulong_104,0,26795,PASS
v3_beta_low,fresh_ulong_104,1,34913,PASS
v3_beta_low,fresh_ulong_104,2,44533,PASS
v3_beta_low,fresh_ulong_104,3,57518,PASS
v4_selected,fresh_ulong_00,0,43203,PASS
v4_selected,fresh_ulong_00,1,53321,PASS
v4_selected,fresh_ulong_00,2,69067,PASS
v4_selected,fresh_ulong_00,3,86776,PASS
v4_selected,fresh_ulong_101,0,24075,PASS
v4_selected,fresh_ulong_101,1,34446,PASS
v4_selected,fresh_ulong_101,2,48474,PASS
v4_selected,fresh_ulong_101,3,68332,PASS
v4_selected,fresh_ulong_01,0,36889,PASS
v4_selected,fresh_ulong_01,1,46496,PASS
v4_selected,fresh_ulong_01,2,54640,PASS
v4_selected,fresh_ulong_01,3,67843,PASS
v4_selected,fresh_ulong_102,0,17596,PASS
v4_selected,fresh_ulong_102,1,23338,PASS
v4_selected,fresh_ulong_102,2,29275,PASS
v4_selected,fresh_ulong_102,3,38142,PASS
v4_selected,fresh_ulong_10,0,24988,PASS
v4_selected,fresh_ulong_10,1,31607,PASS
v4_selected,fresh_ulong_10,2,40191,PASS
v4_selected,fresh_ulong_10,3,52781,PASS
v4_selected,fresh_ulong_103,0,39054,PASS
v4_selected,fresh_ulong_103,1,48405,PASS
v4_selected,fresh_ulong_103,2,60506,PASS
v4_selected,fresh_ulong_103,3,75747,PASS
v4_selected,fresh_ulong_100,0,19584,PASS
v4_selected,fresh_ulong_100,1,26000,PASS
v4_selected,fresh_ulong_100,2,33547,PASS
v4_selected,fresh_ulong_100,3,44721,PASS
v4_selected,fresh_ulong_104,0,24065,PASS
v4_selected,fresh_ulong_104,1,30792,PASS
v4_selected,fresh_ulong_104,2,39797,PASS
v4_selected,fresh_ulong_104,3,51493,PASS
