branch,beta,step,qp,mean_real_kbps,mean_bpp,mean_LPIPS,mean_DISTS,rate_change_percent,mean_bitrate_change_percent,LPIPS_change,DISTS_change,rate_lower_count,LPIPS_nonworse_count,DISTS_nonworse_count,triple_nonworse_count,point_count
beta_low,8.651391137770222,0,0,117.06917957042957,0.0018821936085390947,0.20895852559867004,0.1181456654643019,0.0,0.0,0.0,0.0,0,6,6,0,6
beta_low,8.651391137770222,0,1,154.630501998002,0.0024860548482510286,0.18962943511238942,0.10847378304849069,0.0,0.0,0.0,0.0,0,6,6,0,6
beta_low,8.651391137770222,0,2,206.15325174825173,0.0033143647119341564,0.17318182931436846,0.10201434418559074,0.0,0.0,0.0,0.0,0,6,6,0,6
beta_low,8.651391137770222,0,3,271.102293956044,0.004358523019547325,0.15797987137921154,0.09460384864360094,0.0,0.0,0.0,0.0,0,6,6,0,6
beta_low,8.651391137770222,0,all,187.2388068181818,0.0030102840470679014,0.18243741535115987,0.10580941033549607,0.0,0.0,0.0,0.0,0,24,24,0,24
beta_low,8.651391137770222,1000,0,119.4866520979021,0.0019210551697530864,0.2009963810754319,0.11642828645805518,2.064994848638335,1.7770053028500914,-0.007962144523238124,-0.0017173790062467165,0,5,3,0,6
beta_low,8.651391137770222,1000,1,156.50429195804196,0.0025161755722736628,0.18348704162053764,0.10770777675012748,1.2117854730007815,0.9056008406040483,-0.0061423934918517775,-0.0007660062983632088,2,5,3,1,6
beta_low,8.651391137770222,1000,2,209.21483516483514,0.0033635746206275717,0.1680858424709489,0.10012172969679038,1.485100715424137,1.1514194397699962,-0.005095986843419553,-0.001892614488800362,1,4,3,0,6
beta_low,8.651391137770222,1000,3,276.1414822677323,0.004439521444187243,0.1532596309358875,0.09461460635066032,1.8587774519183364,1.3553160330229372,-0.0047202404433240586,1.0757707059383392e-05,1,5,2,0,6
beta_low,8.651391137770222,1000,all,190.33681537212786,0.003060081701710391,0.1764572240257015,0.10471809981390834,1.6545761034219675,1.2973354040617682,-0.005980191325458378,-0.0010913105215877295,4,19,11,1,24
beta_low,8.651391137770222,2000,0,117.05699925074924,0.0018819926697530864,0.19956009509041905,0.11473048912982146,-0.010404377757677885,-0.0033493873283718667,-0.009398430508250982,-0.0034151763344804353,4,6,5,4,6
beta_low,8.651391137770222,2000,1,153.78577297702296,0.0024724713863168725,0.1808943033684045,0.1074128607288003,-0.5462887399731442,-0.6864936799807208,-0.008735131743984909,-0.001060922319690391,4,6,2,1,6
beta_low,8.651391137770222,2000,2,206.67617257742256,0.0033227639531893008,0.16528848865224668,0.1016014547397693,0.2536563574604189,0.4472379020473538,-0.007893340662121773,-0.0004128894458214488,2,5,2,1,6
beta_low,8.651391137770222,2000,3,271.67799825174825,0.004367766203703704,0.15100558940321207,0.0950780160104235,0.21235685146863137,0.057703032319213664,-0.0069742819759994745,0.000474167366822556,2,6,1,0,6
beta_low,8.651391137770222,2000,all,187.29923576423576,0.0030112485532407408,0.17418711912857057,0.10470570515220363,0.03227372951197793,-0.04622553323563131,-0.008250296222589298,-0.0011037051832924333,12,23,10,6,24
beta_low,8.651391137770222,5000,0,119.72178446553447,0.0019248328189300412,0.19350892511041215,0.11437973411132892,2.2658439265042185,1.9182921805923643,-0.015449600488257886,-0.0037659313529729843,1,6,5,1,6
beta_low,8.651391137770222,5000,1,157.49318306693306,0.002532069830246914,0.175073305494152,0.10594647191464901,1.8513042588247375,1.178836264206571,-0.014556129618237407,-0.002527311133841678,1,6,3,0,6
beta_low,8.651391137770222,5000,2,210.90484015984018,0.003390741544495885,0.1600641964857156,0.100044012380143,2.3048816214604084,1.702948655243371,-0.013117632828652859,-0.001970331805447742,1,6,3,0,6
beta_low,8.651391137770222,5000,3,275.9481481018981,0.0044364068930041155,0.1460693288439264,0.09360103867948055,1.7874633501403725,0.909132625785547,-0.011910542535285146,-0.001002809964120388,3,6,2,0,6
beta_low,8.651391137770222,5000,all,191.01698894855144,0.0030710127716692386,0.16867893898355155,0.10349281427140038,2.0178413837247167,1.4273024314569636,-0.013758476367608324,-0.002316596064095691,6,24,13,1,24
beta_low,8.651391137770222,10000,0,119.42820429570429,0.0019201107574588476,0.18908965374187878,0.11554480747630198,2.015068982229873,1.6879183638546866,-0.01986887185679126,-0.002600857987999916,1,6,3,0,6
beta_low,8.651391137770222,10000,1,155.72340534465533,0.002503616898148148,0.1717387376120314,0.10777630439649026,0.7067838056087128,0.15133206737821073,-0.017890697500358016,-0.0006974786520004272,3,6,2,0,6
beta_low,8.651391137770222,10000,2,209.3966146353646,0.003366488233024691,0.1579624661244452,0.10194713994860649,1.5732775785043618,0.842639978626571,-0.015219363189923257,-6.720423698425293e-05,1,6,2,0,6
beta_low,8.651391137770222,10000,3,275.1270741758242,0.004423205214763374,0.1431323179664711,0.09583499872436126,1.484598363609857,0.7464743661924252,-0.014847553412740438,0.0012311500807603154,2,5,1,0,6
beta_low,8.651391137770222,10000,all,189.9188246128871,0.003053355275848765,0.16548079386120662,0.10527581263644,1.431336719266607,0.8570911940129734,-0.01695662148995325,-0.0005335976990560737,7,23,8,0,24
beta_mid,11.535188183693629,0,0,117.06917957042957,0.0018821936085390947,0.20895852559867004,0.1181456654643019,0.0,0.0,0.0,0.0,0,6,6,0,6
beta_mid,11.535188183693629,0,1,154.630501998002,0.0024860548482510286,0.18962943511238942,0.10847378304849069,0.0,0.0,0.0,0.0,0,6,6,0,6
beta_mid,11.535188183693629,0,2,206.15325174825173,0.0033143647119341564,0.17318182931436846,0.10201434418559074,0.0,0.0,0.0,0.0,0,6,6,0,6
beta_mid,11.535188183693629,0,3,271.102293956044,0.004358523019547325,0.15797987137921154,0.09460384864360094,0.0,0.0,0.0,0.0,0,6,6,0,6
beta_mid,11.535188183693629,0,all,187.2388068181818,0.0030102840470679014,0.18243741535115987,0.10580941033549607,0.0,0.0,0.0,0.0,0,24,24,0,24
beta_mid,11.535188183693629,1000,0,116.0842644855145,0.001866359632201646,0.20704602093125382,0.1207928213601311,-0.8413103162840052,-0.7552355212075774,-0.001912504667416215,0.0026471558958292007,4,4,2,2,6
beta_mid,11.535188183693629,1000,1,154.2883279220779,0.0024805491255144034,0.1870311329839751,0.10996168944984674,-0.2212849803258754,-0.578302303500385,-0.0025983021284143037,0.0014879064013560567,4,4,2,1,6
beta_mid,11.535188183693629,1000,2,205.05270354645356,0.003296662004886831,0.1716312752881398,0.10320251062512398,-0.5338495475890603,-0.32275666842564443,-0.0015505540262286677,0.0011881664395332336,3,4,1,0,6
beta_mid,11.535188183693629,1000,3,269.4352797202797,0.004331717785493828,0.15762937513257688,0.09723058808594942,-0.6149022981098651,-0.6813457538594673,-0.00035049624663466283,0.0026267394423484802,5,3,1,1,6
beta_mid,11.535188183693629,1000,all,186.2151439185814,0.002993822137024177,0.1808344510839864,0.10779690238026281,-0.5467151372068102,-0.5844100617482685,-0.0016029642671734623,0.0019874920447667394,16,15,6,4,24
beta_mid,11.535188183693629,2000,0,116.01723526473528,0.0018652745627572018,0.20162069075740874,0.11809006209174792,-0.898566394292899,-1.0037466202814593,-0.007337834841261298,-5.560337255397507e-05,4,5,2,1,6
beta_mid,11.535188183693629,2000,1,153.27221778221778,0.002464212802211934,0.1830005202209577,0.1087790708988905,-0.8784063934564212,-1.1451991460411,-0.00662891489143172,0.00030528785039980744,4,5,2,2,6
beta_mid,11.535188183693629,2000,2,202.42669080919083,0.0032544447659465015,0.1682537793337057,0.10223206939796607,-1.80766536906809,-1.6799357873651184,-0.004928049980662763,0.0002177252123753276,6,5,1,1,6
beta_mid,11.535188183693629,2000,3,267.17581043956045,0.004295388052983539,0.15374843875179067,0.0974134396140774,-1.4483402036871595,-1.5689847797323593,-0.0042314326274208724,0.0028095909704764638,5,5,0,0,6
beta_mid,11.535188183693629,2000,all,184.72298857392607,0.0029698300459747944,0.1766558572659657,0.10662866050067048,-1.3436414635448535,-1.3494665833550092,-0.005781558085194177,0.0008192501651744094,19,20,5,4,24
beta_mid,11.535188183693629,5000,0,115.00086288711289,0.0018489382394547326,0.19501680446167788,0.11805328416327636,-1.766747397484214,-1.5490532209804269,-0.013941721136992158,-9.238130102554032e-05,5,5,3,2,6
beta_mid,11.535188183693629,5000,1,150.78106768231768,0.0024241657021604936,0.17798516930391392,0.10914430239548285,-2.489440482922345,-2.6380577875873854,-0.011644265808475496,0.0006705193469921655,6,6,2,2,6
beta_mid,11.535188183693629,5000,2,199.883257992008,0.003213553722993827,0.16363510501105338,0.10255737323313951,-3.041423651129438,-2.610888000065764,-0.009546724303315074,0.0005430290475487709,5,4,3,3,6
beta_mid,11.535188183693629,5000,3,261.6489110889111,0.0042065329218107,0.14973300154088065,0.09732784796506166,-3.487016922352426,-3.3213660274667802,-0.008246869838330895,0.002723999321460724,6,5,1,1,6
beta_mid,11.535188183693629,5000,all,181.82852491258743,0.002923297646604938,0.17159252007938144,0.1067707019392401,-2.889508856381484,-2.529841259025089,-0.010844895271778426,0.00096129160374403,22,20,9,8,24
beta_mid,11.535188183693629,10000,0,116.25834665334666,0.0018691526813271605,0.19055282064558318,0.11414378602057695,-0.6926100618951603,-0.811946418664831,-0.018405704953086854,-0.0040018794437249455,5,6,3,3,6
beta_mid,11.535188183693629,10000,1,153.87978396603395,0.002473978427211934,0.17236606931934753,0.10647724103182554,-0.48549155714293635,-0.987748703727981,-0.017263365793041885,-0.0019965420166651454,5,6,2,1,6
beta_mid,11.535188183693629,10000,2,203.20087537462538,0.003266882876800412,0.15890825951161483,0.10011402610689402,-1.4321269970709483,-1.818036116577008,-0.014273569802753627,-0.0019003180786967278,5,6,2,2,6
beta_mid,11.535188183693629,10000,3,267.76132867132867,0.004304791988168724,0.14472440940638384,0.09526213724166155,-1.2323633400376233,-1.805576469694233,-0.013255461972827703,0.0006582885980606079,4,5,1,0,6
beta_mid,11.535188183693629,10000,all,185.27508366633367,0.002978701493377058,0.16663788972073235,0.10399929760023952,-1.0487799966355293,-1.355826927166013,-0.015799525630427524,-0.0018101127352565527,19,23,8,6,24
