from_frame,to_frame,FloLPIPS
0,1,0.19047661125659943
1,2,0.11542278528213501
2,3,0.11654956638813019
3,4,0.10562974214553833
4,5,0.11540800333023071
5,6,0.12303619086742401
6,7,0.11979319900274277
7,8,0.12252938747406006
8,9,0.12410345673561096
9,10,0.12275437265634537
10,11,0.1407720148563385
11,12,0.16866903007030487
12,13,0.15219545364379883
13,14,0.1597849577665329
14,15,0.15908978879451752
15,16,0.18050657212734222
16,17,0.16037046909332275
17,18,0.14497467875480652
18,19,0.14848849177360535
19,20,0.17220279574394226
20,21,0.14683371782302856
21,22,0.14396119117736816
22,23,0.15191099047660828
23,24,0.17860707640647888
24,25,0.1325502246618271
25,26,0.10522961616516113
26,27,0.12610074877738953
27,28,0.14663244783878326
28,29,0.05267930030822754
29,30,0.07104737311601639
30,31,0.08351437747478485
31,32,0.09133035689592361
32,33,0.07249271124601364
33,34,0.07335598766803741
34,35,0.07637658715248108
35,36,0.08962924778461456
36,37,0.06852002441883087
37,38,0.07183437049388885
38,39,0.07721682637929916
39,40,0.09248122572898865
40,41,0.07429161667823792
41,42,0.07328857481479645
42,43,0.0826287493109703
43,44,0.0913480594754219
44,45,0.07053550332784653
45,46,0.07230593264102936
46,47,0.08691143989562988
47,48,0.09867164492607117
48,49,0.08468429744243622
49,50,0.07134073227643967
50,51,0.08967822790145874
51,52,0.0934646874666214
52,53,0.08422113209962845
53,54,0.07648557424545288
54,55,0.08853283524513245
55,56,0.09865354001522064
56,57,0.08015146851539612
57,58,0.07641513645648956
58,59,0.08600081503391266
59,60,0.09559506177902222
60,61,0.08114685118198395
61,62,0.05218217521905899
62,63,0.08664941787719727
