method,checkpoint,qp,num_real_samples,num_reconstruction_samples,FID,mean_real_kbps,pooling
original,,0,512,512,41.18660894717641,124.11726632742258,"all videos in fixed manifest, single QP"
original,,1,512,512,35.30613450456519,159.79251436063936,"all videos in fixed manifest, single QP"
original,,2,512,512,29.66906023035915,209.23988324175824,"all videos in fixed manifest, single QP"
original,,3,512,512,24.940435658964645,270.80047795954044,"all videos in fixed manifest, single QP"
v41_20000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_20000.pt,0,512,512,46.383916134989136,104.77093390984015,"all videos in fixed manifest, single QP"
v41_20000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_20000.pt,1,512,512,37.25501400498621,134.01758382242755,"all videos in fixed manifest, single QP"
v41_20000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_20000.pt,2,512,512,31.11324761155896,168.98238573926074,"all videos in fixed manifest, single QP"
v41_20000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_20000.pt,3,512,512,25.953159896901127,215.84877965784216,"all videos in fixed manifest, single QP"
clip4_control,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v5a_clip_ablation/checkpoints/clip4_control/step_7000.pt,0,512,512,46.274428320863365,102.8433866133866,"all videos in fixed manifest, single QP"
clip4_control,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v5a_clip_ablation/checkpoints/clip4_control/step_7000.pt,1,512,512,39.318695689585184,131.65901832542457,"all videos in fixed manifest, single QP"
clip4_control,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v5a_clip_ablation/checkpoints/clip4_control/step_7000.pt,2,512,512,34.24718859017713,166.33290584415585,"all videos in fixed manifest, single QP"
clip4_control,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v5a_clip_ablation/checkpoints/clip4_control/step_7000.pt,3,512,512,28.37032431383591,214.96200767982018,"all videos in fixed manifest, single QP"
clip8,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v5a_clip_ablation/checkpoints/clip8/step_3000.pt,0,512,512,47.90029787159443,109.57041879995003,"all videos in fixed manifest, single QP"
clip8,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v5a_clip_ablation/checkpoints/clip8/step_3000.pt,1,512,512,36.34047447510483,140.2658663211788,"all videos in fixed manifest, single QP"
clip8,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v5a_clip_ablation/checkpoints/clip8/step_3000.pt,2,512,512,31.057378908300734,178.21487496878123,"all videos in fixed manifest, single QP"
clip8,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v5a_clip_ablation/checkpoints/clip8/step_3000.pt,3,512,512,26.68638203179927,228.21978053196804,"all videos in fixed manifest, single QP"
