anchor,method,metric,rate_axis,interpolation,common_rate_min_kbps,common_rate_max_kbps,status,reason,grid_points,grid_spacing,mean_equal_rate_delta,fraction_of_common_rate_range_better,anchor_monotone,candidate_monotone,nonmonotone_policy
original,v41_20000,LPIPS,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,215.84877965784221,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.02366762330928085,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,v41_20000,DISTS,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,215.84877965784221,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.0063195321184502575,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,v41_20000,FloLPIPS,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,215.84877965784221,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.022483104238760432,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,v41_20000,FID,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,215.84877965784221,valid,,100,"uniform natural log(kbps), inclusive endpoints",-2.710996778849432,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,clip4_control,LPIPS,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,214.96200767982018,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.02178618447290775,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,clip4_control,DISTS,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,214.96200767982018,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.0038433168988043897,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,clip4_control,FloLPIPS,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,214.96200767982018,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.01953205547468174,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,clip4_control,FID,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,214.96200767982018,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.3635735975857678,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,clip8,LPIPS,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,228.2197805319681,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.023438567343557,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,clip8,DISTS,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,228.2197805319681,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.0038759963696817323,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,clip8,FloLPIPS,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,228.2197805319681,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.020992572395188865,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,clip8,FID,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,228.2197805319681,valid,,100,"uniform natural log(kbps), inclusive endpoints",-1.6985535145393644,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
clip4_control,clip8,LPIPS,natural log(kbps),"PCHIP, extrapolate=False",109.57041879995003,214.96200767982018,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.0017548529938497736,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
clip4_control,clip8,DISTS,natural log(kbps),"PCHIP, extrapolate=False",109.57041879995003,214.96200767982018,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.0002838413259656597,0.71,True,True,preserve measured local shape; no sorting of metric values or smoothing
clip4_control,clip8,FloLPIPS,natural log(kbps),"PCHIP, extrapolate=False",109.57041879995003,214.96200767982018,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.0017853186427637825,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
clip4_control,clip8,FID,natural log(kbps),"PCHIP, extrapolate=False",109.57041879995003,214.96200767982018,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.756385241398268,0.79,True,True,preserve measured local shape; no sorting of metric values or smoothing
