anchor,method,metric,rate_axis,interpolation,common_rate_min_kbps,common_rate_max_kbps,status,reason,BD_rate_percent,common_metric_min,common_metric_max,integration,formula
original,v41_20000,LPIPS,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,215.84877965784221,valid,,-33.66581404127677,0.1280411916304729,0.15931138655287214,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,v41_20000,DISTS,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,215.84877965784221,valid,,-18.45998358578696,0.09330244094599038,0.11374259588774294,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,v41_20000,FloLPIPS,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,215.84877965784221,valid,,-30.07787057253994,0.121210414217785,0.1584742419229495,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,v41_20000,FID,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,215.84877965784221,valid,,-11.068883735545068,25.953159896901127,41.18660894717641,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,clip4_control,LPIPS,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,214.96200767982018,valid,,-31.52224586240786,0.1280411916304729,0.16210022037557792,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,clip4_control,DISTS,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,214.96200767982018,valid,,-12.897634408116673,0.0968759034294635,0.11582004372030497,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,clip4_control,FloLPIPS,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,214.96200767982018,valid,,-25.94888968008583,0.121210414217785,0.1628567251628117,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,clip4_control,FID,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,214.96200767982018,valid,,-1.663171098258126,28.37032431383591,41.18660894717641,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,clip8,LPIPS,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,228.2197805319681,valid,,-33.75206698579164,0.1280411916304729,0.15624818360083736,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,clip8,DISTS,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,228.2197805319681,valid,,-12.052522654575684,0.09383956692181528,0.11361893732100725,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,clip8,FloLPIPS,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,228.2197805319681,valid,,-27.933820235395668,0.121210414217785,0.1561465206009055,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
original,clip8,FID,natural log(kbps),"PCHIP, extrapolate=False",124.11726632742258,228.2197805319681,valid,,-7.336599506257246,26.68638203179927,41.18660894717641,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
clip4_control,clip8,LPIPS,natural log(kbps),"PCHIP, extrapolate=False",109.57041879995003,214.96200767982018,valid,,-3.0510063213985807,0.11945242128422251,0.15624818360083736,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
clip4_control,clip8,DISTS,natural log(kbps),"PCHIP, extrapolate=False",109.57041879995003,214.96200767982018,valid,,-0.9472944049828196,0.0968759034294635,0.11361893732100725,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
clip4_control,clip8,FloLPIPS,natural log(kbps),"PCHIP, extrapolate=False",109.57041879995003,214.96200767982018,valid,,-2.8477127136243916,0.1167674168929576,0.1561465206009055,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
clip4_control,clip8,FID,natural log(kbps),"PCHIP, extrapolate=False",109.57041879995003,214.96200767982018,valid,,-3.179802740343047,28.37032431383591,46.274428320863365,exact integral of piecewise cubic PCHIP over common metric interval,100 * expm1(mean(log(rate_candidate)-log(rate_anchor)))
