method,qp,num_videos,kbps,bpp,LPIPS,DISTS,FloLPIPS,PSNR,SSIM,MS_SSIM,FID,FID_num_samples
original,0,8,124.11726632742258,0.0019957215108989197,0.1726776454161154,0.11719290935434401,0.1735074701718986,25.41260166406208,0.9576351345749572,0.8720583562972024,41.18660894717641,512
original,1,8,159.79251436063936,0.00256933895158179,0.1559411571943201,0.10616687417495996,0.1522278481103953,25.891043279920645,0.9615250988863409,0.8863860692363232,35.30613450456519,512
original,2,8,209.23988324175824,0.003364378375771605,0.1402431687383796,0.09782015322707593,0.13444232407750356,26.401448442182478,0.9654000077862293,0.9003563290461898,29.66906023035915,512
original,3,8,270.80047795954044,0.004354195300443673,0.1280411916304729,0.09106145438272506,0.121210414217785,26.829907517628286,0.9683541354024783,0.9112893702695146,24.940435658964645,512
v41_20000,0,8,104.77093390984015,0.0016846607349537035,0.15931138655287214,0.11374259588774294,0.1584742419229495,24.31922692455734,0.9498377778800204,0.8561524304095656,46.383916134989136,512
v41_20000,1,8,134.01758382242755,0.0021549177758487656,0.14184630833915435,0.10482841404154897,0.13905692070219963,24.854732652088725,0.9549840468680486,0.873484362848103,37.25501400498621,512
v41_20000,2,8,168.98238573926074,0.002717096776138117,0.12922560565493768,0.0985202562296763,0.12735369332903435,25.29409765293835,0.9587632323382422,0.8863099757581949,31.11324761155896,512
v41_20000,3,8,215.84877965784216,0.003470647364486883,0.11711679331347113,0.09330244094599038,0.11449325515607756,25.72501396577418,0.9622837881324813,0.898750699008815,25.953159896901127,512
clip4_control,0,8,102.8433866133866,0.0016536684389467592,0.16210022037557792,0.11582004372030497,0.1628567251628117,23.88285215218179,0.9459357733139768,0.8524094121530652,46.274428320863365,512
clip4_control,1,8,131.65901832542457,0.002116993091724537,0.1447993863694137,0.10800943535286933,0.14511195915411151,24.39339340732213,0.9510244815610349,0.8691111060325056,39.318695689585184,512
clip4_control,2,8,166.33290584415585,0.002674492730034722,0.13186892577505205,0.10097521869465709,0.13037542067468166,24.81760990486528,0.9549925473984331,0.8816813671728596,34.24718859017713,512
clip4_control,3,8,214.96200767982018,0.0034563907576195987,0.11945242128422251,0.0968759034294635,0.1167674168929576,25.231269962095183,0.9586649795528501,0.8945138971321285,28.37032431383591,512
clip8,0,8,109.57041879995003,0.0017618287639853396,0.15624818360083736,0.11361893732100725,0.1561465206009055,24.359331919026975,0.9503589150262997,0.8588162596570328,47.90029787159443,512
clip8,1,8,140.2658663211788,0.0022553846571180558,0.1392739790462656,0.10563481680583209,0.13924628396385483,24.88137708254631,0.9553089418914169,0.875765749020502,36.34047447510483,512
clip8,2,8,178.21487496878123,0.0028655403043016973,0.12639330498495838,0.09967282984871417,0.12470503906083721,25.301740034863517,0.9589572187978774,0.8884256134042516,31.057378908300734,512
clip8,3,8,228.21978053196804,0.0036695616922260803,0.11464829331816873,0.09383956692181528,0.111624984750672,25.722058969028573,0.9623611216666177,0.9004231584258378,26.68638203179927,512
