method,qp,mean_rate_change_percent,LPIPS_change,DISTS_change,FloLPIPS_change
v41_20000,0,-15.587140282760192,-0.013366258863243274,-0.0034503134666010737,-0.015033228248949093
v41_20000,1,-16.13024905537176,-0.014094848855165765,-0.0013384601334109902,-0.01317092740819567
v41_20000,2,-19.23987763651326,-0.011017563083441928,0.0007001030026003718,-0.007088630748469216
v41_20000,3,-20.292319539372627,-0.01092439831700176,0.0022409865632653236,-0.006717159061707445
v41_20000,all,-18.369059846357537,-0.012350767279713182,-0.0004619210085365921,-0.01050248636683035
clip4_control,0,-17.14014523806484,-0.010577425040537491,-0.0013728656340390444,-0.010650745009086915
clip4_control,1,-17.606266568732785,-0.011141770824906416,0.0018425611779093742,-0.007115888956283789
clip4_control,2,-20.506118017675988,-0.00837424296332756,0.003155065467581153,-0.0040669034028218976
clip4_control,3,-20.61978276421762,-0.008588770346250385,0.005814449046738446,-0.004442997324827405
clip4_control,all,-19.392996388503803,-0.009670552293755463,0.002359802514547482,-0.006569133673254984
clip8,0,-11.720244860290286,-0.016429461815278046,-0.0035739720333367586,-0.0173609495709931
clip8,1,-12.220001742628828,-0.016667178148054518,-0.0005320573691278696,-0.012981564146540475
clip8,2,-14.827483074596415,-0.013849863753421232,0.0018526766216382384,-0.009737285016666347
clip8,3,-15.72401117915836,-0.013392898312304169,0.002778112539090216,-0.009585429467113007
clip8,all,-14.095056125151828,-0.015084850507264491,0.0001311899395659566,-0.012416307050328201
