branch,step,global_step,position,qp,R_est_bpp,LPIPS,DISTS,proxy_L1,PSNR,MS_SSIM,frame_objective
clip4_control,1,20001,1,2,0.008064884692430496,0.07119879126548767,0.14464515447616577,0.0908951610326767,33.157038006319894,0.9638552069664001,0.3562978208065033
clip4_control,1,20001,2,2,0.004730945453047752,0.07295969128608704,0.14617252349853516,0.09035134315490723,32.93313577732603,0.9629139304161072,0.30189424753189087
clip4_control,1,20001,3,2,0.0020389959681779146,0.07461534440517426,0.15633118152618408,0.08966086804866791,32.304065676290264,0.9583908915519714,0.26712343096733093
clip4_control,2,20002,1,3,0.013955000787973404,0.12135735154151917,0.1523904800415039,0.05848266929388046,28.678838557953164,0.9216381907463074,0.5157930254936218
clip4_control,2,20002,2,3,0.008368538692593575,0.10967587679624557,0.1542426347732544,0.05852177366614342,29.21137621899048,0.9263968467712402,0.4093027412891388
clip4_control,2,20002,3,3,0.0013808369403705,0.1137145459651947,0.15618515014648438,0.05852439999580383,28.97231051887347,0.9248348474502563,0.29437726736068726
clip4_control,3,20003,1,1,0.013729038648307323,0.18538765609264374,0.1492488980293274,0.09710091352462769,24.11903561703276,0.8160321116447449,0.5731581449508667
clip4_control,3,20003,2,1,0.0022945464588701725,0.18689334392547607,0.1504300832748413,0.09706664085388184,24.31820248822335,0.8219582438468933,0.3779961168766022
clip4_control,3,20003,3,1,9.84788202913478e-05,0.1864735633134842,0.1524469256401062,0.09723629802465439,24.355440173366198,0.8240166902542114,0.341596782207489
clip4_control,4,20004,1,3,0.01173934806138277,0.061795733869075775,0.11261540651321411,0.10086530447006226,28.512423903128088,0.9420337677001953,0.3785431683063507
clip4_control,4,20004,2,3,0.0036291666328907013,0.055794164538383484,0.11485517024993896,0.10084374994039536,28.766078866879155,0.9438090324401855,0.23445244133472443
clip4_control,4,20004,3,3,0.00021419054246507585,0.056179191917181015,0.11093902587890625,0.10084795951843262,28.78539429461718,0.9444369077682495,0.17183279991149902
clip4_control,5,20005,1,0,0.006097148638218641,0.15490272641181946,0.19364941120147705,0.07205627858638763,30.28813976384047,0.8893376588821411,0.4547703266143799
clip4_control,5,20005,2,0,0.002886089961975813,0.15607279539108276,0.18459010124206543,0.07210403680801392,31.583593510061405,0.8951148390769958,0.3913213312625885
clip4_control,5,20005,3,0,0.0009406468598172069,0.16471587121486664,0.18582123517990112,0.07230877876281738,31.831754809749526,0.8836039304733276,0.3675360381603241
clip4_control,6,20006,1,1,0.012046191841363907,0.11211851239204407,0.14401555061340332,0.07731372117996216,30.454972557414347,0.9337403178215027,0.4653398394584656
clip4_control,6,20006,2,1,0.0033376533538103104,0.10552617907524109,0.13784313201904297,0.07749789953231812,30.606487326957215,0.9340476393699646,0.3018949627876282
clip4_control,6,20006,3,1,0.0004913215525448322,0.09876402467489243,0.1388893723487854,0.07725633680820465,30.38858429928444,0.9319087862968445,0.2469272017478943
clip4_control,7,20007,1,3,0.02123592048883438,0.16369518637657166,0.15743446350097656,0.05806548893451691,24.65436152714505,0.7955116033554077,0.6891508102416992
clip4_control,7,20007,2,3,0.0021735227201133966,0.1587194949388504,0.15290355682373047,0.05815042182803154,24.866048109401333,0.8039412498474121,0.3498125374317169
clip4_control,7,20007,3,3,0.00014578083937522024,0.16091148555278778,0.1525428295135498,0.058048903942108154,24.876954406793487,0.8025267124176025,0.31655722856521606
clip4_control,8,20008,1,1,0.007217395585030317,0.2434895634651184,0.2675383687019348,0.04794057831168175,21.823888167416303,0.49846720695495605,0.63638836145401
clip4_control,8,20008,2,1,0.0011887153377756476,0.22862084209918976,0.2763092517852783,0.04773075506091118,22.098841001749854,0.4951435327529907,0.5259754657745361
clip4_control,8,20008,3,1,0.0002568046620581299,0.2399606704711914,0.2658767104148865,0.04843695089221001,21.84748455282385,0.48919105529785156,0.5107651352882385
clip4_control,9,20009,1,1,0.0033208345994353294,0.06842729449272156,0.1717545986175537,0.07900339365005493,37.46356382202709,0.9691795110702515,0.2984316051006317
clip4_control,9,20009,2,1,0.0008475445210933685,0.06789037585258484,0.1654563546180725,0.07916176319122314,37.75640635128041,0.9707298278808594,0.24880322813987732
clip4_control,9,20009,3,1,0.0002516196691431105,0.0699201300740242,0.16363978385925293,0.0791148766875267,37.47060065612994,0.9691938161849976,0.23870477080345154
clip4_control,10,20010,1,3,0.014466235414147377,0.10562446713447571,0.12727069854736328,0.06590233743190765,26.32977841411141,0.8417128324508667,0.4838603138923645
clip4_control,10,20010,2,3,0.002252732403576374,0.10188791900873184,0.12434500455856323,0.06594472378492355,26.56159953335511,0.8449786901473999,0.2658708989620209
clip4_control,10,20010,3,3,0.0002790508442558348,0.09959277510643005,0.12987399101257324,0.0658988207578659,26.4340068277766,0.8431466817855835,0.2349541038274765
clip4_control,11,20011,1,2,0.00827108882367611,0.2025783807039261,0.15877234935760498,0.1003556102514267,19.49794984809455,0.6620767116546631,0.5054671168327332
clip4_control,11,20011,2,2,0.0072852848097682,0.19970768690109253,0.1765078902244568,0.10229058563709259,19.57483908441089,0.6714785099029541,0.5032942295074463
clip4_control,11,20011,3,2,0.004748205654323101,0.22493863105773926,0.18149828910827637,0.10497318208217621,19.517603905328,0.6441445350646973,0.48964381217956543
clip4_control,12,20012,1,0,0.0074919662438333035,0.11323579400777817,0.17461097240447998,0.05521657317876816,22.925939661191762,0.860855221748352,0.4180307984352112
clip4_control,12,20012,2,0,0.003555073169991374,0.12795300781726837,0.16790902614593506,0.055082470178604126,22.53590518684817,0.8420042991638184,0.35792550444602966
clip4_control,12,20012,3,0,0.0019085616804659367,0.11848907917737961,0.1722036600112915,0.05495826527476311,22.693852586099528,0.8490473628044128,0.3242657482624054
clip4_control,13,20013,1,0,0.0025705245789140463,0.04873800277709961,0.1444634199142456,0.06404213607311249,34.73279672914372,0.978341817855835,0.23831906914710999
clip4_control,13,20013,2,0,0.0010049613192677498,0.05051661282777786,0.1467539668083191,0.06388263404369354,34.37795189185647,0.9819521307945251,0.21529802680015564
clip4_control,13,20013,3,0,0.0006188532570376992,0.05595888942480087,0.1364074945449829,0.06366132944822311,37.86510091533435,0.9787487983703613,0.2037108838558197
clip4_control,14,20014,1,0,0.00864223763346672,0.15450431406497955,0.16866427659988403,0.06489851325750351,30.64566532341098,0.8711155652999878,0.473352313041687
clip4_control,14,20014,2,0,0.0018011776264756918,0.1486009806394577,0.15982329845428467,0.06511954218149185,30.649018596129483,0.8722400665283203,0.34024086594581604
clip4_control,14,20014,3,0,0.0002638059377204627,0.15385165810585022,0.15946036577224731,0.0650041401386261,30.89816109837556,0.8730781078338623,0.31852665543556213
clip4_control,15,20015,1,2,0.004448100924491882,0.03719298914074898,0.0925450325012207,0.05134651064872742,36.62162010992909,0.9834965467453003,0.20721599459648132
clip4_control,15,20015,2,2,0.0012527013896033168,0.03839428722858429,0.09506207704544067,0.049031417816877365,37.35563584583906,0.9852935075759888,0.15562188625335693
clip4_control,15,20015,3,2,0.0005772698204964399,0.04613911360502243,0.11240661144256592,0.046991195529699326,40.739795293088406,0.984346866607666,0.16900400817394257
clip4_control,16,20016,1,2,0.01860886998474598,0.1399906724691391,0.17493486404418945,0.069365955889225,21.049261125760697,0.8036129474639893,0.6376044750213623
clip4_control,16,20016,2,2,0.0025776573456823826,0.15044677257537842,0.17153608798980713,0.06933656334877014,21.022803726275665,0.7997450828552246,0.3672768473625183
clip4_control,16,20016,3,2,0.0003905331832356751,0.14795812964439392,0.17820143699645996,0.06911368668079376,20.782525064304224,0.7986100912094116,0.3336080312728882
clip4_control,17,20017,1,3,0.016367997974157333,0.12084236741065979,0.1606743335723877,0.05006832629442215,26.114565360613085,0.8633129000663757,0.5652292966842651
clip4_control,17,20017,2,3,0.0024251805152744055,0.12000645697116852,0.16552269458770752,0.04996020719408989,25.911090002930372,0.8610764741897583,0.3279911279678345
clip4_control,17,20017,3,3,0.00021992957044858485,0.11989042162895203,0.16660058498382568,0.05001651495695114,25.937362388309193,0.862563967704773,0.29079657793045044
clip4_control,18,20018,1,2,0.009060071781277657,0.0783902034163475,0.13094055652618408,0.06003377586603165,34.083742306960005,0.9399564266204834,0.3666955530643463
clip4_control,18,20018,2,2,0.0032548499293625355,0.0676807090640068,0.12639236450195312,0.06083042547106743,34.83478287661018,0.9444199800491333,0.2509993314743042
clip4_control,18,20018,3,2,0.0006388510228134692,0.07181575894355774,0.13137948513031006,0.061065927147865295,34.467102172407664,0.9452170133590698,0.21485981345176697
clip4_control,19,20019,1,2,0.0047267721965909,0.053743086755275726,0.11628603935241699,0.044618260115385056,35.51741177311742,0.96815025806427,0.25226160883903503
clip4_control,19,20019,2,2,0.004135956056416035,0.04991794750094414,0.12330853939056396,0.04217880964279175,35.27901066301719,0.9690141677856445,0.24521183967590332
clip4_control,19,20019,3,2,0.0012881640577688813,0.04556531459093094,0.11075377464294434,0.042183320969343185,36.55294261002938,0.9744186401367188,0.17902974784374237
clip4_control,20,20020,1,0,0.011565678752958775,0.10575832426548004,0.18043369054794312,0.0510450080037117,30.65319914014426,0.9207865595817566,0.48682087659835815
clip4_control,20,20020,2,0,0.002600193489342928,0.11125871539115906,0.18911397457122803,0.050910234451293945,30.881689152954714,0.9142265319824219,0.3458723723888397
clip4_control,20,20020,3,0,0.0004844788636546582,0.11086460947990417,0.1887723207473755,0.050954487174749374,30.993140245367663,0.9131890535354614,0.3085292875766754
clip4_control,21,20021,1,2,0.021093405783176422,0.25252050161361694,0.21057844161987305,0.0844789370894432,18.78653764257916,0.6226518154144287,0.8289183378219604
clip4_control,21,20021,2,2,0.002533684251829982,0.24407708644866943,0.20488399267196655,0.0847456306219101,18.762181356917814,0.622372567653656,0.49364832043647766
clip4_control,21,20021,3,2,0.00012259669892955571,0.24705830216407776,0.20067012310028076,0.08450111001729965,18.672982194984503,0.6116522550582886,0.4506947100162506
clip4_control,22,20022,1,1,0.013187697157263756,0.12193521857261658,0.15518665313720703,0.056646645069122314,25.847565189689806,0.8791733980178833,0.5058721899986267
clip4_control,22,20022,2,1,0.003966517746448517,0.11387216299772263,0.14580702781677246,0.05668588727712631,26.144162194671516,0.880757749080658,0.32887786626815796
clip4_control,22,20022,3,1,0.0018002111464738846,0.1245705634355545,0.14502829313278198,0.05686204135417938,25.47679168057643,0.8609037399291992,0.30131614208221436
clip4_control,23,20023,1,3,0.005218144506216049,0.028970975428819656,0.09228748083114624,0.05278971046209335,37.70394106473949,0.984157919883728,0.21207477152347565
clip4_control,23,20023,2,3,0.0020426532719284296,0.026320522651076317,0.08955371379852295,0.05254369601607323,38.68162911173439,0.9846698641777039,0.15174324810504913
