branch,step,global_step,beta,qp,optimized_P_frames,num_p_frames,video,start,crop_x,crop_y,width,height,clip_length,first_frame_index,last_frame_index,consecutive_frames,raw_decoded_frames,rejected_sample_attempts,loss,LPIPS,DISTS,R_est_bpp,proxy_L1,PSNR,MS_SSIM,wrapper_gradient_norm,bridge_gradient_norm,generator_gradient_norm,all_finite
clip8,1,20001,17.302782275540444,2,7,7,clips_long_1920/5a24cb57-3bed-43d2-9d5c-99e6ae7fe509.mp4,20,1275,35,1920,1080,8,20,27,True,8,0,0.31258806213736534,0.0779477996485574,0.16106923988887242,0.004200823654952858,0.08850712542022979,31.84006621371583,0.9540571229798452,0.7964088305837228,1.1556365648584979,0.6485303002826691,True
clip8,2,20002,17.302782275540444,3,14,7,clips_long_1920/ea3e430f-b90d-4f90-ab8c-d81b3ef74fe3.mp4,248,1500,556,1920,1080,8,248,255,True,8,0,0.3658762499690056,0.11089886405638286,0.15708495037896295,0.0056238187244161955,0.058469831943511956,29.46860882450327,0.9302107862063818,0.8512379328887614,1.8732217311495252,0.8123022146867012,True
clip8,3,20003,17.302782275540444,1,21,7,clips_long_1920/4f31105d-6a50-41ad-b88b-893d45fac380.mp4,332,828,143,1920,1080,8,332,339,True,8,0,0.3794391080737114,0.1814798883029393,0.1504869716508048,0.0026874369110113814,0.09721110974039351,24.428638076187642,0.825350284576416,0.4201856153396664,1.0813112055107932,0.5947058244358698,True
clip8,4,20004,17.302782275540444,3,28,7,clips_long_1920/adc1cb09-a4aa-45cb-9662-5eeb0e8d4024.mp4,12,1541,609,1920,1080,8,12,19,True,8,0,0.23565785586833954,0.058937725744077143,0.12140671695981708,0.0031385545506574476,0.10076770612171719,28.68069150238106,0.9435789585113525,0.5604464702579882,0.724981150863294,0.4319187369466559,True
clip8,5,20005,17.302782275540444,0,35,7,clips_long_1920/04ad6810-0997-4fa6-b81f-315d7a13fa8d.mp4,124,425,222,1920,1080,8,124,131,True,8,0,0.3802698031067848,0.15548940428665706,0.18722338335854666,0.002129130813825343,0.07171033429247992,31.98894888203794,0.8939533999988012,0.6411589399439213,1.2593108082546134,0.8481177531076581,True
clip8,6,20006,17.302782275540444,1,42,7,clips_long_1920/e32863f4-ce59-4597-a082-f976a873eb85.mp4,62,973,263,1920,1080,8,62,69,True,8,0,0.29260245338082314,0.09705435910395212,0.14302610499518256,0.0029907966423447117,0.07728762924671173,30.68440258023086,0.9370378851890564,0.5932037720088356,0.8154242861747999,0.4125570844910522,True
clip8,7,20007,17.302782275540444,3,49,7,clips_long_1920/e9f92278-3496-451f-8997-ebc9b209ea54.mp4,547,314,332,1920,1080,8,547,554,True,8,0,0.37763766944408417,0.16110127525670187,0.14659194435392106,0.004009021038655192,0.057721107133797224,24.868500030079442,0.802670751299177,0.7765044071385884,1.7811801574024764,0.7408683509057851,True
clip8,8,20008,17.302782275540444,1,56,7,clips_long_1920/7940d0fb-9138-4889-be05-692f36ce917e.mp4,157,197,801,1920,1080,8,157,164,True,8,0,0.5295958444476128,0.2366737042154584,0.26383060216903687,0.0016533957470008837,0.048317041248083115,21.981356599630054,0.5014001556805202,1.179731776309085,4.194022498525662,2.0029180429893234,True
clip8,9,20009,17.302782275540444,1,63,7,clips_long_1920/bfa3bbdc-6d43-48e9-bfbd-4f4ed28a6061.mp4,217,86,386,1920,1080,8,217,224,True,8,0,0.24529870599508286,0.0657675638794899,0.16545989683696202,0.0007681390332956133,0.07802956657750267,37.078267107358926,0.9704713140215193,1.4637465141277481,1.4121212551472513,0.9783455667204631,True
clip8,10,20010,17.302782275540444,3,70,7,clips_long_1920/df9f7df3-90e5-49e9-aa26-ebf52a2ae9b9.mp4,178,265,94,1920,1080,8,178,185,True,8,0,0.27677180245518684,0.09770635621888298,0.12740296125411987,0.002948291680825475,0.06488248067242759,26.615904716083424,0.8426478249686105,0.7019121437815584,1.2850663902544808,0.5430367740204108,True
