dataset,video,video_id,kind,parameter,bitstream_path,recorded_bytes,filesystem_bytes,bitstream_sha256,real_rans,independent_decode_status
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,baseline,original,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_baseline_original.bin,24325,24325,937cbb6670bc15448183cca43cc396a27938b8618eb679019972476571245b54,True,PASS
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,oracle,0.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_oracle_0p0.bin,41889,41889,34143667f90ead4100f6a474901433e50bdf7453f3eff593abcf481fe0de3139,True,NOT_SELECTED
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,oracle,0.01,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_oracle_0p01.bin,41760,41760,cd98a87b89dab3e676cc47ec0510fc88139d8a93b3e51990880ca1cc54c71714,True,NOT_SELECTED
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,oracle,0.03,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_oracle_0p03.bin,41636,41636,0640d99537163149a254bd15990356d946958905ea64fc3fa9f249a5adb42415,True,NOT_SELECTED
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,oracle,0.1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_oracle_0p1.bin,41396,41396,311b76210550b3eade0f4e10ba5a897b97bf8851e2b0b755ebe091e8ee1c91a7,True,NOT_SELECTED
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,oracle,0.3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_oracle_0p3.bin,40073,40073,4622472d2bda2b6af7ae2fa8352d07f1d14b56cb194a019943788842f73321a1,True,NOT_SELECTED
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,oracle,1.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_oracle_1p0.bin,37980,37980,fcb5211cc3d996bf86cdad526fe29c7aa9b89d4fb9034a939bba542d2db4decd,True,NOT_SELECTED
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,oracle,3.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_oracle_3p0.bin,34409,34409,c5df649ea29699195a8f24ace276232882454d1db071f592b28f0b5ada6f6540,True,NOT_SELECTED
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,oracle,10.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_oracle_10p0.bin,28098,28098,b96914071277ba8db1157c3106cb3f33ea5a60b86142d317146f6c3044a82495,True,NOT_SELECTED
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,oracle,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_oracle_30p0.bin,23403,23403,4c7d372eeeac28a327dbfb38885bf7ae46bee0172058a185f3c0df7261cc7b79,True,NOT_SELECTED
