dataset,video,video_id,kind,parameter,bytes,bits,bpp,kbps,total_pixel_SSE,aggregate_MSE,sequence_PSNR,mean_PSNR,SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,decode_status,model_hash,actual_rate_ratio
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,blur,0.5,24452,195616,0.005896026234567901,366.78,712039.90625,0.007153821717564461,21.454618872290897,21.474501695799955,0.9548248313367367,0.2098804684355855,0.0755242295563221,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_blur_0p5.bin,3e88a8367efb1c3378a3316b9590ddecf1b0fb728e98aba78440c8a762efa855,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.0052209660842755
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,blur,1.0,25073,200584,0.006045765817901234,376.095,600281.25,0.006030989281925155,22.196114433421627,22.242119708954387,0.9617628641426563,0.23860203847289085,0.08544952422380447,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_blur_1p0.bin,5bf251be43c1c7922cf23ae1c91c2b0474e4d45cdfb78cafc1fa012d803f404a,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.0307502569373073
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,blur,1.5,26602,212816,0.006414448302469136,399.03,539585.09375,0.005421178684313111,22.65906277956026,22.739151538625197,0.9657697044312954,0.3042353540658951,0.11627767607569695,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_blur_1p5.bin,8cc6fba3ea75f529ea7309bf751ff0e6323cbd1404e325351c9cd1aa94555168,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.0936073997944502
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,blur,2.0,27495,219960,0.006629774305555555,412.425,526877.49609375,0.005293506222006715,22.762565721127153,22.867815755735528,0.9667077474296093,0.3665805570781231,0.14837752655148506,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_blur_2p0.bin,4ce224ccb2eed7678f52621643058e075de05fe57495d9ba5d22628fca1ec36a,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.1303186022610483
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,blur,3.0,28046,224368,0.006762635030864198,420.69,552878.337890625,0.005554735101299522,22.553366472158217,22.682902216843754,0.965247318148613,0.4460866451263428,0.20135818421840668,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_blur_3p0.bin,1a5039fcc3ed74bedb41b72eb313493e95e245baeed162423aadd92159357513,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.1529701952723534
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,blur,4.0,27519,220152,0.006635561342592592,412.785,606074.97265625,0.0060891984617759175,22.154398710022107,22.291677844035128,0.9618254788219929,0.4991909936070442,0.24616147577762604,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_blur_4p0.bin,ae7c9fa2e68037dab2777d35e3853a6077571dd85a7dd1b6af5c0ce517d7c046,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.131305241521069
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,blur,6.0,25848,206784,0.006232638888888889,387.72,743267.419921875,0.00746756265192856,21.268211250314724,21.40895930003766,0.952748030424118,0.5597709324210882,0.32253938913345337,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_blur_6p0.bin,5dfb45d01193efbc2238cd007e4b115d4282c7b1c2cf7c7fd4c52ce694a6aae9,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.0626104830421377
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,blur,8.0,24234,193872,0.005843460648148148,363.51,882259.94921875,0.008864012156984933,20.523696569807342,20.672456843562262,0.9433270655572414,0.5947074797004461,0.37884098291397095,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_blur_8p0.bin,aa2566897a7f3468c276207eceb508385342f4ae39e681eb9aad6f97aae34da5,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,0.9962589928057554
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,blur,0.5,19156,153248,0.004619020061728395,287.05294705294705,129240.17529296875,0.001298468196343002,28.865686831712893,28.888163955337795,0.9791493974626064,0.1310597020201385,0.08198028057813644,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_blur_0p5.bin,2023b925c7fde5c60f243393d7adfd3285362c0902db8b1bc9c735055b8849b1,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,0.9971889640812077
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,blur,1.0,19412,155296,0.004680748456790123,290.8891108891109,121490.73486328125,0.0012206100387337766,29.13423062571498,29.16191675599348,0.9803528413176537,0.1456951703876257,0.09191088005900383,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_blur_1p0.bin,c54a2beace88a9b682eed7c286c47d349f44f6137bd35c34c49701bf98953fa3,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.010515356585112
