group,video,resolution,frames,fps,qp,bitrate_kbps,psnr_db,lpips,dists
random,VIRAT_S_010003_01_000111_000137,1280x720,96,23.97,0,31.075107,20.573018,0.212149,0.113147
random,VIRAT_S_010108_01_000570_000718,1280x720,96,23.97,0,27.75726,20.65564,0.234871,0.118999
random,VIRAT_S_010111_02_000198_000310,1280x720,96,23.97,0,28.64415,19.74443,0.246079,0.121977
random,VIRAT_S_010200_02_000349_000398,1280x720,96,23.97,0,26.786475,23.799262,0.199738,0.110395
random,VIRAT_S_010205_01_000207_000288,1280x720,96,23.97,0,25.42418,23.75804,0.196808,0.112672
specified,VIRAT_S_000201_03_000640_000672_17fps_gop_000000,1280x720,33,17.0,0,31.976485,23.294314,0.222732,0.110841
specified,VIRAT_S_010200_01_000254_000322_17fps_gop_000001,1280x720,33,17.0,0,25.724606,24.284289,0.179695,0.101238
specified,VIRAT_S_010200_03_000470_000567_17fps_gop_000000,1280x720,33,17.0,0,32.693576,24.265483,0.180465,0.103227
random,VIRAT_S_010003_01_000111_000137,1280x720,96,23.97,1,39.113047,21.306219,0.194016,0.1025
random,VIRAT_S_010108_01_000570_000718,1280x720,96,23.97,1,34.20519,21.246042,0.204128,0.112303
random,VIRAT_S_010111_02_000198_000310,1280x720,96,23.97,1,35.727285,20.287663,0.221816,0.106037
random,VIRAT_S_010200_02_000349_000398,1280x720,96,23.97,1,33.689835,24.445337,0.1758,0.097507
random,VIRAT_S_010205_01_000207_000288,1280x720,96,23.97,1,31.502572,24.304082,0.175393,0.097377
specified,VIRAT_S_000201_03_000640_000672_17fps_gop_000000,1280x720,33,17.0,1,38.949576,23.883763,0.2026,0.105129
specified,VIRAT_S_010200_01_000254_000322_17fps_gop_000001,1280x720,33,17.0,1,31.576727,24.814351,0.162457,0.091592
specified,VIRAT_S_010200_03_000470_000567_17fps_gop_000000,1280x720,33,17.0,1,40.161212,24.755817,0.16172,0.097356
random,VIRAT_S_010003_01_000111_000137,1280x720,96,23.97,2,49.062595,21.8483,0.17448,0.096577
random,VIRAT_S_010108_01_000570_000718,1280x720,96,23.97,2,43.76123,21.744226,0.188724,0.100312
