group,video,resolution,frames,fps,qp,bitrate_kbps,psnr_db,lpips,dists
random,VIRAT_S_010003_01_000111_000137,1280x720,96,23.97,2,49.062595,21.8483,0.17448,0.096577
random,VIRAT_S_010108_01_000570_000718,1280x720,96,23.97,2,43.76123,21.744226,0.188724,0.100312
random,VIRAT_S_010111_02_000198_000310,1280x720,96,23.97,2,45.227395,20.831259,0.200983,0.104502
random,VIRAT_S_010200_02_000349_000398,1280x720,96,23.97,2,42.143255,24.899762,0.162927,0.090967
random,VIRAT_S_010205_01_000207_000288,1280x720,96,23.97,2,39.8701,24.86426,0.156166,0.089278
specified,VIRAT_S_000201_03_000640_000672_17fps_gop_000000,1280x720,33,17.0,2,48.605576,24.502458,0.179839,0.095287
specified,VIRAT_S_010200_01_000254_000322_17fps_gop_000001,1280x720,33,17.0,2,38.261333,25.13248,0.147456,0.085386
specified,VIRAT_S_010200_03_000470_000567_17fps_gop_000000,1280x720,33,17.0,2,49.302061,25.257522,0.147996,0.090613
random,VIRAT_S_010003_01_000111_000137,1280x720,96,23.97,3,61.37119,22.433565,0.160151,0.089707
random,VIRAT_S_010108_01_000570_000718,1280x720,96,23.97,3,55.77819,22.194101,0.170957,0.093763
random,VIRAT_S_010111_02_000198_000310,1280x720,96,23.97,3,57.42413,21.277049,0.184078,0.094712
random,VIRAT_S_010200_02_000349_000398,1280x720,96,23.97,3,53.283313,25.404682,0.144287,0.080202
random,VIRAT_S_010205_01_000207_000288,1280x720,96,23.97,3,50.52077,25.343751,0.140576,0.082214
specified,VIRAT_S_000201_03_000640_000672_17fps_gop_000000,1280x720,33,17.0,3,60.697212,24.915882,0.169458,0.089461
specified,VIRAT_S_010200_01_000254_000322_17fps_gop_000001,1280x720,33,17.0,3,47.459879,25.497108,0.134825,0.083622
specified,VIRAT_S_010200_03_000470_000567_17fps_gop_000000,1280x720,33,17.0,3,61.261818,25.749114,0.134245,0.084028
random,VIRAT_S_010003_01_000111_000137,854x480,96,20.0,2,20.731667,20.29176,0.185935,0.107661
random,VIRAT_S_010108_01_000570_000718,854x480,96,20.0,2,18.495,20.29828,0.197021,0.112377
random,VIRAT_S_010111_02_000198_000310,854x480,96,20.0,2,19.058333,19.253505,0.20133,0.112034
random,VIRAT_S_010200_02_000349_000398,854x480,96,20.0,2,17.423333,23.818677,0.161014,0.094571
random,VIRAT_S_010205_01_000207_000288,854x480,96,20.0,2,15.993333,23.748768,0.16774,0.096022
specified,VIRAT_S_000201_03_000640_000672_17fps_gop_000000,854x480,33,20.0,2,27.553939,22.921942,0.193297,0.105632
specified,VIRAT_S_010200_01_000254_000322_17fps_gop_000001,854x480,33,20.0,2,22.332121,23.995714,0.151252,0.090634
specified,VIRAT_S_010200_03_000470_000567_17fps_gop_000000,854x480,33,20.0,2,29.638788,24.006336,0.143618,0.096567
random,VIRAT_S_010003_01_000111_000137,854x480,96,20.0,3,25.933333,20.745685,0.167206,0.095804
random,VIRAT_S_010108_01_000570_000718,854x480,96,20.0,3,23.043333,20.693867,0.179492,0.104487
random,VIRAT_S_010111_02_000198_000310,854x480,96,20.0,3,23.946667,19.686475,0.182864,0.103961
random,VIRAT_S_010200_02_000349_000398,854x480,96,20.0,3,21.655,24.262456,0.141565,0.086622
random,VIRAT_S_010205_01_000207_000288,854x480,96,20.0,3,20.27,24.255052,0.149354,0.087409
specified,VIRAT_S_000201_03_000640_000672_17fps_gop_000000,854x480,33,20.0,3,33.643636,23.311484,0.172885,0.097133
specified,VIRAT_S_010200_01_000254_000322_17fps_gop_000001,854x480,33,20.0,3,27.083636,24.461364,0.133028,0.082541
specified,VIRAT_S_010200_03_000470_000567_17fps_gop_000000,854x480,33,20.0,3,36.513939,24.370914,0.131441,0.084891
