dataset,video,video_id,qp,frames,actual_bytes,actual_bits,bpp,kbps,PSNR,MS_SSIM,LPIPS,DISTS
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,64,57653,461224,0.003475417148919753,216.19875,24.52116441850623,0.9759418275207281,0.15588989714160562,0.09348528552800417
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,64,96549,772392,0.005820131655092592,362.05875,25.9471324105213,0.9826976666226983,0.1200498960679397,0.07413897477090359
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,64,52078,416624,0.0031393470293209877,195.0974025974026,29.142785612015437,0.979019558057189,0.13199148036073893,0.0770218400284648
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,64,78986,631888,0.004761405285493827,295.9015984015984,30.15030891001539,0.9835106832906604,0.10498300509061664,0.06271296553313732
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,64,35312,282496,0.00212866512345679,132.28771228771228,28.47158724994585,0.981841198168695,0.07612672576215118,0.07411882560700178
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,64,60467,483736,0.0036450496720679014,226.52472527472526,29.1175276946312,0.9851789195090532,0.06236264604376629,0.061576093547046185
uvg,Beauty,0,1,64,22057,176456,0.0013296320408950617,330.855,27.739446239050412,0.9767590817064047,0.1534828911535442,0.14173196256160736
uvg,Beauty,0,3,64,41349,330792,0.0024925853587962963,620.235,28.088038592015966,0.9787926878780127,0.12948396836873144,0.1316287936642766
uvg,Bosphorus,1,1,64,30994,247952,0.0018683690200617285,464.91,30.87728239422079,0.9534675534814596,0.15879749436862767,0.13753508869558573
uvg,Bosphorus,1,3,64,51949,415592,0.003131570698302469,779.235,31.472206806681417,0.9598000217229128,0.12848799442872405,0.1171071631833911
uvg,HoneyBee,2,1,64,28168,225344,0.0016980131172839505,422.52,29.7708103550545,0.9727460807189345,0.15386110451072454,0.12848099041730165
uvg,HoneyBee,2,3,64,44679,357432,0.0026933232060185187,670.185,30.635786704063676,0.979667286388576,0.1192838343558833,0.11505281273275614
