scope,dataset,video,video_id,qp,branch,restart,lambda_or_beta,iteration,frame,surrogate_rate,actual_bytes,actual_bits,actual_rate_ratio_to_baseline,optimization_distortion,PSNR,MS_SSIM_or_SSIM,LPIPS,DISTS,quantized_symbol_hash,bitstream_hash,decode_status,finite_status,num_changed_symbols_vs_baseline,L1_symbol_change,L2_latent_change,interpolated_only,is_budget_feasible,is_selected,is_baseline,bitstream_path,selection
cell,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,compression_aware,0,baseline_init,0,,,57653,461224,1.0,,24.52116441850623,0.9759418275207281,0.15588989714160562,0.09348528552800417,,,PASS,PASS,0,0,0,False,True,False,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp1_baseline.bin,branch_objective
cell,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,baseline_init,0,,,57653,461224,1.0,,24.52116441850623,0.9759418275207281,0.15588989714160562,0.09348528552800417,,,PASS,PASS,0,0,0,False,True,False,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp1_baseline.bin,branch_objective
cell,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,0,10.0,20,,,95411,763288,0.9882132388735254,3.6955204615517268,24.560880713598056,0.9761342946439981,0.1649578409269452,0.10064506251364946,,dc05af0475dc04b1308d986cadca284be0827c0714372084d4d0913b0bb926c6,PASS,PASS,,,,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_compression_aware_beta10.bin,branch_objective
cell,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,0,baseline_init,0,,,96549,772392,1.0,,25.9471324105213,0.9826976666226983,0.1200498960679397,0.07413897477090359,,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,PASS,PASS,0,0,0,False,True,False,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_baseline.bin,best_PSNR
cell,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,0,baseline_init,0,,,96549,772392,1.0,,25.9471324105213,0.9826976666226983,0.1200498960679397,0.07413897477090359,,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,PASS,PASS,0,0,0,False,True,False,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_baseline.bin,best_LPIPS
cell,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,0,baseline_init,0,,,96549,772392,1.0,,25.9471324105213,0.9826976666226983,0.1200498960679397,0.07413897477090359,,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,PASS,PASS,0,0,0,False,True,False,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_baseline.bin,best_DISTS
cell,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,generator_aware,0,baseline_init,0,,,96549,772392,1.0,,25.9471324105213,0.9826976666226983,0.1200498960679397,0.07413897477090359,,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_baseline.bin,branch_objective
cell,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,generator_aware,0,baseline_init,0,,,96549,772392,1.0,,25.9471324105213,0.9826976666226983,0.1200498960679397,0.07413897477090359,,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_baseline.bin,best_PSNR
cell,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,generator_aware,0,baseline_init,0,,,96549,772392,1.0,,25.9471324105213,0.9826976666226983,0.1200498960679397,0.07413897477090359,,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_baseline.bin,best_LPIPS
cell,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,generator_aware,0,baseline_init,0,,,96549,772392,1.0,,25.9471324105213,0.9826976666226983,0.1200498960679397,0.07413897477090359,,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_baseline.bin,best_DISTS
