dataset,video,video_id,qp,baseline_bytes,baseline_PSNR,baseline_LPIPS,baseline_DISTS,compression_bytes,compression_rate_gap_percent,compression_PSNR,compression_delta_PSNR,compression_LPIPS,compression_delta_LPIPS,compression_DISTS,compression_delta_DISTS,compression_same_bit_status,generator_bytes,generator_rate_gap_percent,generator_PSNR,generator_delta_PSNR,generator_LPIPS,generator_delta_LPIPS,generator_DISTS,generator_delta_DISTS,generator_same_bit_status
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,57653,24.52116441850623,0.15588989714160562,0.09348528552800417,,,,,,,,,NOT_REACHED,,,,,,,,,NOT_REACHED
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,96549,25.9471324105213,0.1200498960679397,0.07413897477090359,96385,-0.16986193539032524,24.58027214398362,-1.3668602665376781,0.16373189887963235,0.043682002811692655,0.10095960088074207,0.026820626109838486,REACHED,,,,,,,,,NOT_REACHED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,52078,29.142785612015437,0.13199148036073893,0.0770218400284648,,,,,,,,,NOT_REACHED,,,,,,,,,NOT_REACHED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,78986,30.15030891001539,0.10498300509061664,0.06271296553313732,,,,,,,,,NOT_REACHED,,,,,,,,,NOT_REACHED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,35312,28.47158724994585,0.07612672576215118,0.07411882560700178,,,,,,,,,NOT_REACHED,,,,,,,,,NOT_REACHED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,60467,29.1175276946312,0.06236264604376629,0.061576093547046185,60378,-0.14718772222865883,27.05680459383327,-2.0607231007979294,0.09251496999058872,0.030152323946822435,0.08326192758977413,0.021685834042727947,REACHED,60046,-0.6962475399804879,28.176811287818072,-0.9407164068131273,0.08773974026553333,0.025377094221767038,0.08069118671119213,0.019115093164145947,REACHED
uvg,Beauty,0,1,22057,27.739446239050412,0.1534828911535442,0.14173196256160736,,,,,,,,,NOT_REACHED,,,,,,,,,NOT_REACHED
uvg,Beauty,0,3,41349,28.088038592015966,0.12948396836873144,0.1316287936642766,41112,-0.5731698469128688,25.694351804255618,-2.3936867877603483,0.16271889070048928,0.033234922331757843,0.15904028806835413,0.02741149440407753,REACHED,41259,-0.21765943553653244,27.065171805020277,-1.0228667869956887,0.16744820238091052,0.03796423401217908,0.16192773915827274,0.030298945493996143,REACHED
uvg,Bosphorus,1,1,30994,30.87728239422079,0.15879749436862767,0.13753508869558573,,,,,,,,,NOT_REACHED,,,,,,,,,NOT_REACHED
uvg,Bosphorus,1,3,51949,31.472206806681417,0.12848799442872405,0.1171071631833911,,,,,,,,,NOT_REACHED,,,,,,,,,NOT_REACHED
uvg,HoneyBee,2,1,28168,29.7708103550545,0.15386110451072454,0.12848099041730165,,,,,,,,,NOT_REACHED,,,,,,,,,NOT_REACHED
uvg,HoneyBee,2,3,44679,30.635786704063676,0.1192838343558833,0.11505281273275614,,,,,,,,,NOT_REACHED,,,,,,,,,NOT_REACHED
