dataset,video,video_id,qp,branch,evaluated_betas,reused_v12_1_betas,new_v12_2_betas,new_beta_evaluations,bracket_status,same_bit_level,same_bit_status,selected_beta
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,compression_aware,0;0.1;0.3;1;10;30;100;300;1000;3000;10000,0;0.1;0.3;1;10,30;100;300;1000;3000;10000,6,NO_UNDER_BUDGET_POINT,NONE,NOT_REACHED,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0;0.1;0.3;1;10;30;100;300;1000;3000;10000,0;0.1;0.3;1;10,30;100;300;1000;3000;10000,6,NO_UNDER_BUDGET_POINT,NONE,NOT_REACHED,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,0;0.1;0.3;1;10;3.16227766017;1.77827941004;1.33352143216,0;0.1;0.3;1;10,3.16227766017;1.77827941004;1.33352143216,3,FOUND,WITHIN_0.5_PERCENT,REACHED,1.333521432163324
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,generator_aware,0;0.1;0.3;1;10;30;100;300;1000;3000;10000,0;0.1;0.3;1;10,30;100;300;1000;3000;10000,6,NO_UNDER_BUDGET_POINT,NONE,NOT_REACHED,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,compression_aware,0;0.1;0.3;1;10;30;100;300;1000;3000;10000,0;0.1;0.3;1;10,30;100;300;1000;3000;10000,6,NO_UNDER_BUDGET_POINT,NONE,NOT_REACHED,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,generator_aware,0;0.1;0.3;1;10;30;100;300;1000;3000;10000,0;0.1;0.3;1;10,30;100;300;1000;3000;10000,6,NO_UNDER_BUDGET_POINT,NONE,NOT_REACHED,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,compression_aware,0;0.1;0.3;1;10;30;100;300;1000;3000;10000,0;0.1;0.3;1;10,30;100;300;1000;3000;10000,6,NO_UNDER_BUDGET_POINT,NONE,NOT_REACHED,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,generator_aware,0;0.1;0.3;1;10;30;100;300;1000;3000;10000,0;0.1;0.3;1;10,30;100;300;1000;3000;10000,6,NO_UNDER_BUDGET_POINT,NONE,NOT_REACHED,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,compression_aware,0;0.1;0.3;1;10;30;100;300;1000;3000;10000,0;0.1;0.3;1;10,30;100;300;1000;3000;10000,6,NO_UNDER_BUDGET_POINT,NONE,NOT_REACHED,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,generator_aware,0;0.1;0.3;1;10;30;100;300;1000;3000;10000,0;0.1;0.3;1;10,30;100;300;1000;3000;10000,6,NO_UNDER_BUDGET_POINT,NONE,NOT_REACHED,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,compression_aware,0;0.1;0.3;1;10;1.73205080757;0.547722557505;2.34034731932;0.740082804492;0.636678919427;0.590528073895,0;0.1;0.3;1;10,1.73205080757;0.547722557505;2.34034731932;0.740082804492;0.636678919427;0.590528073895,6,FOUND,WITHIN_0.5_PERCENT,REACHED,0.5905280738948102
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,generator_aware,0;0.1;0.3;1;10;30;17.3205080757;22.7950705695,0;0.1;0.3;1;10,30;17.3205080757;22.7950705695,3,FOUND,WITHIN_1_PERCENT,REACHED,22.795070569547775
