kind,dataset,video_id,qp,path,expected_sha256,actual_sha256,bytes,status
source,fresh_ulong,0,,/Huang_group/zyyz/Projects/GVC-RT/expericent_generation_input/expericent_generator_aware_latent_distortion_v11/b2_robustness_rd_validation/data_cache/fresh_ulong/clips_long_1920_2__fee5d9ad-e77d-44cd-b576-d588d7a0ce9d.mp4,ecb6c9cefb760e7a427eb2c27853d2e1e4b67223b89fb4c147e20d72d7f1ce1b,ecb6c9cefb760e7a427eb2c27853d2e1e4b67223b89fb4c147e20d72d7f1ce1b,30212726,PASS
source,fresh_ulong,1,,/Huang_group/zyyz/Projects/GVC-RT/expericent_generation_input/expericent_generator_aware_latent_distortion_v11/b2_robustness_rd_validation/data_cache/fresh_ulong/clips_long_1920_2__0834e99f-94bc-4568-a7c2-f7022dade8e1.mp4,c040d60bd98df878a7a354e41024f5acd056fbb989b6bd308ec45cc3276ccf4e,c040d60bd98df878a7a354e41024f5acd056fbb989b6bd308ec45cc3276ccf4e,67137539,PASS
source,fresh_ulong,10,,/Huang_group/zyyz/Projects/GVC-RT/expericent_generation_input/expericent_generator_aware_latent_distortion_v11/b2_robustness_rd_validation/data_cache/fresh_ulong/clips_long_1920_2__98881c99-ebda-4469-bbe4-0ee789ff217d.mp4,893cf0489ba524a84e89bf3ec3006cccc4220f00c05df3094fc63c42f397f89f,893cf0489ba524a84e89bf3ec3006cccc4220f00c05df3094fc63c42f397f89f,10678779,PASS
source,uvg,0,,/Huang_group/zyyz/datasets/UVG/Beauty_1920x1080_120fps_420_8bit_YUV.yuv,ad5c466ce78e100123202441035b58a485d620aeb6c7b2ef84176c4b9da1ff00,ad5c466ce78e100123202441035b58a485d620aeb6c7b2ef84176c4b9da1ff00,1866240000,PASS
source,uvg,1,,/Huang_group/zyyz/datasets/UVG/Bosphorus_1920x1080_120fps_420_8bit_YUV.yuv,0cc508da880e0a466faf0618eb28b73b761b2e7a64d3c8bd45baf2e91c037856,0cc508da880e0a466faf0618eb28b73b761b2e7a64d3c8bd45baf2e91c037856,1866240000,PASS
source,uvg,2,,/Huang_group/zyyz/datasets/UVG/HoneyBee_1920x1080_120fps_420_8bit_YUV.yuv,50e47af98d7828123f898869b7d3a820bbbba635d35d240c5c4c965e8ae712de,50e47af98d7828123f898869b7d3a820bbbba635d35d240c5c4c965e8ae712de,1866240000,PASS
checkpoint,,,,/Huang_group/zyyz/Projects/GVC-RT/checkpoints/GVC-RT_I.pt,c8a840415cc028307131c66f68076b7e9f6fcc4db7fed423c62e8b202f83a22d,c8a840415cc028307131c66f68076b7e9f6fcc4db7fed423c62e8b202f83a22d,334225106,PASS
checkpoint,,,,/Huang_group/zyyz/Projects/GVC-RT/checkpoints/GVC-RT_P.pt,7a89bd342a1484b3da7dfc3f03834ff81e0e4180e02f8a286dec0d1025c99f4e,7a89bd342a1484b3da7dfc3f03834ff81e0e4180e02f8a286dec0d1025c99f4e,206881943,PASS
checkpoint,,,,/Huang_group/zyyz/Projects/GVC-RT/expericent_generation_input/expericent_generator_aware_latent_distortion_v11/checkpoints/b2/lr_1e-04/update_0200.pt,0ea5ac6dcf7e8e9f143367c05b6319c60b2d13565a0f7f79aaefdb13050bfc77,0ea5ac6dcf7e8e9f143367c05b6319c60b2d13565a0f7f79aaefdb13050bfc77,9688610,PASS
reused_baseline_bitstream,fresh_ulong,0,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp1_baseline.bin,fc99a3ab6fe7472249a201022d1d522e575a4aa3f13271cfc5cf37505355cca6,fc99a3ab6fe7472249a201022d1d522e575a4aa3f13271cfc5cf37505355cca6,57653,PASS
reused_baseline_bitstream,fresh_ulong,0,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_baseline.bin,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,96549,PASS
reused_baseline_bitstream,fresh_ulong,1,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp1_baseline.bin,932734fe8a30e69316f35209b55ab123a58e5f55a0a3e5567bbbc63a7173ad02,932734fe8a30e69316f35209b55ab123a58e5f55a0a3e5567bbbc63a7173ad02,52078,PASS
reused_baseline_bitstream,fresh_ulong,1,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp3_baseline.bin,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,78986,PASS
reused_baseline_bitstream,fresh_ulong,10,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp1_baseline.bin,6b3c2df67aabc382b1e31c2361aeb9766abd69f77fdef30a288bca23ef127aa1,6b3c2df67aabc382b1e31c2361aeb9766abd69f77fdef30a288bca23ef127aa1,35312,PASS
