status,failure_type,dataset,video,video_id,qp,failure_frame,selected_cumulative_bytes,baseline_cumulative_bytes,budget_gap_bytes,frames_committed,model_hash_before,model_hash_after,model_unchanged,decode_status_for_committed_frames,finite_status_for_committed_frames
FAIL,CAUSAL_BUDGET_VIOLATION,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,4,14513,14511,2,4,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,True,PASS,PASS
FAIL,CAUSAL_BUDGET_VIOLATION,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,2,16913,16909,4,2,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,True,PASS,PASS
FAIL,CAUSAL_BUDGET_VIOLATION,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,3,13206,13204,2,3,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,True,PASS,PASS
FAIL,CAUSAL_BUDGET_VIOLATION,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,2,16685,16683,2,2,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,True,PASS,PASS
FAIL,CAUSAL_BUDGET_VIOLATION,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,6,8690,8687,3,6,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,True,PASS,PASS
FAIL,CAUSAL_BUDGET_VIOLATION,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,5,11676,11670,6,5,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,True,PASS,PASS
FAIL,CAUSAL_BUDGET_VIOLATION,uvg,Beauty,0,1,3,5300,5299,1,3,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,True,PASS,PASS
FAIL,CAUSAL_BUDGET_VIOLATION,uvg,Beauty,0,3,5,8797,8791,6,5,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,True,PASS,PASS
FAIL,CAUSAL_BUDGET_VIOLATION,uvg,Bosphorus,1,1,3,9308,9306,2,3,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,True,PASS,PASS
FAIL,CAUSAL_BUDGET_VIOLATION,uvg,Bosphorus,1,3,2,11957,11956,1,2,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,True,PASS,PASS
FAIL,CAUSAL_BUDGET_VIOLATION,uvg,HoneyBee,2,1,3,11792,11789,3,3,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,True,PASS,PASS
FAIL,CAUSAL_BUDGET_VIOLATION,uvg,HoneyBee,2,3,5,17076,17074,2,5,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,4374532b75129f7cf6daaaee825ba29f22f11b2c226ff4cb1bdaa16f928e94c2,True,PASS,PASS
