dataset,video,video_id,qp,baseline_bytes,discrete_bytes,rate_ratio,rate_gap_bytes,rate_gap_percent,baseline_PSNR,discrete_PSNR,delta_PSNR,baseline_SSIM,discrete_SSIM,delta_SSIM,baseline_LPIPS,discrete_LPIPS,delta_LPIPS,baseline_DISTS,discrete_DISTS,delta_DISTS,num_accepted_single_edits,num_accepted_pair_edits,num_changed_z_symbols,num_changed_w0_symbols,num_changed_w1_symbols,bitstream_path,bitstream_sha256,decode_status,state_sync_status,finite_status,cell_status,failure_type,failure_frame,selected_cumulative_bytes,baseline_cumulative_bytes,budget_gap_bytes
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,57653,,,,,24.52116441850623,,,0.9759418275207281,,,0.15588989714160562,,,0.09348528552800417,,,4,2,2,4,2,,,NOT_RUN_NO_VALID_FULL_STREAM,PASS,PASS,FAIL,CAUSAL_BUDGET_VIOLATION,4,14513,14511,2
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,96549,,,,,25.9471324105213,,,0.9826976666226983,,,0.1200498960679397,,,0.07413897477090359,,,2,2,1,3,2,,,NOT_RUN_NO_VALID_FULL_STREAM,PASS,PASS,FAIL,CAUSAL_BUDGET_VIOLATION,2,16913,16909,4
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,52078,,,,,29.142785612015437,,,0.979019558057189,,,0.13199148036073893,,,0.0770218400284648,,,3,4,0,2,5,,,NOT_RUN_NO_VALID_FULL_STREAM,PASS,PASS,FAIL,CAUSAL_BUDGET_VIOLATION,3,13206,13204,2
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,78986,,,,,30.15030891001539,,,0.9835106832906604,,,0.10498300509061664,,,0.06271296553313732,,,4,0,0,2,2,,,NOT_RUN_NO_VALID_FULL_STREAM,PASS,PASS,FAIL,CAUSAL_BUDGET_VIOLATION,2,16685,16683,2
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,35312,,,,,28.47158724994585,,,0.981841198168695,,,0.07612672576215118,,,0.07411882560700178,,,5,1,0,3,2,,,NOT_RUN_NO_VALID_FULL_STREAM,PASS,PASS,FAIL,CAUSAL_BUDGET_VIOLATION,6,8690,8687,3
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,60467,,,,,29.1175276946312,,,0.9851789195090532,,,0.06236264604376629,,,0.061576093547046185,,,3,1,0,2,2,,,NOT_RUN_NO_VALID_FULL_STREAM,PASS,PASS,FAIL,CAUSAL_BUDGET_VIOLATION,5,11676,11670,6
uvg,Beauty,0,1,22057,,,,,27.739446239050412,,,0.9767590817064047,,,0.1534828911535442,,,0.14173196256160736,,,2,1,0,1,3,,,NOT_RUN_NO_VALID_FULL_STREAM,PASS,PASS,FAIL,CAUSAL_BUDGET_VIOLATION,3,5300,5299,1
uvg,Beauty,0,3,41349,,,,,28.088038592015966,,,0.9787926878780127,,,0.12948396836873144,,,0.1316287936642766,,,7,0,0,4,3,,,NOT_RUN_NO_VALID_FULL_STREAM,PASS,PASS,FAIL,CAUSAL_BUDGET_VIOLATION,5,8797,8791,6
uvg,Bosphorus,1,1,30994,,,,,30.87728239422079,,,0.9534675534814596,,,0.15879749436862767,,,0.13753508869558573,,,5,0,0,1,4,,,NOT_RUN_NO_VALID_FULL_STREAM,PASS,PASS,FAIL,CAUSAL_BUDGET_VIOLATION,3,9308,9306,2
uvg,Bosphorus,1,3,51949,,,,,31.472206806681417,,,0.9598000217229128,,,0.12848799442872405,,,0.1171071631833911,,,1,2,0,3,1,,,NOT_RUN_NO_VALID_FULL_STREAM,PASS,PASS,FAIL,CAUSAL_BUDGET_VIOLATION,2,11957,11956,1
uvg,HoneyBee,2,1,28168,,,,,29.7708103550545,,,0.9727460807189345,,,0.15386110451072454,,,0.12848099041730165,,,4,0,0,1,3,,,NOT_RUN_NO_VALID_FULL_STREAM,PASS,PASS,FAIL,CAUSAL_BUDGET_VIOLATION,3,11792,11789,3
uvg,HoneyBee,2,3,44679,,,,,30.635786704063676,,,0.979667286388576,,,0.1192838343558833,,,0.11505281273275614,,,8,0,1,3,3,,,NOT_RUN_NO_VALID_FULL_STREAM,PASS,PASS,FAIL,CAUSAL_BUDGET_VIOLATION,5,17076,17074,2
