dataset,video,video_id,qp,total_active_z_symbols,total_active_w0_symbols,total_active_w1_symbols,num_z_symbols_proposed,num_w0_symbols_proposed,num_w1_symbols_proposed,num_single_exact_evaluations,num_pair_exact_evaluations,num_rate_saving_candidates,num_quality_improving_candidates,num_joint_rate_nonincrease_quality_improve_candidates,num_committed_moves
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,261120,221384,64472,288,576,1152,2016,151,22,724,127,6
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,130560,120674,35080,160,320,640,1120,133,41,357,152,4
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,195840,186097,55561,288,576,1152,2016,164,40,329,85,7
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,130560,133174,39164,160,320,640,1120,172,30,295,114,4
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,391680,177689,44642,384,768,1536,2688,71,9,837,95,6
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,326400,196133,46255,288,576,1152,2016,45,18,713,72,4
uvg,Beauty,0,1,195840,73613,20613,192,384,768,1344,30,4,708,4,3
uvg,Beauty,0,3,326400,193410,63443,384,768,1536,2688,120,20,753,127,7
uvg,Bosphorus,1,1,195840,148472,37053,224,448,896,1568,41,6,419,58,5
uvg,Bosphorus,1,3,130560,111628,29400,160,320,640,1120,96,15,240,93,3
uvg,HoneyBee,2,1,195840,165772,49934,192,384,768,1344,149,41,550,166,4
uvg,HoneyBee,2,3,326400,304282,89532,384,768,1536,2688,106,36,786,377,8
