dataset,video,video_id,qp,num_frames,num_beam_states_expanded,num_single_exact_evaluations,num_pair_exact_evaluations,num_rate_saving_actions,num_quality_improving_actions,num_free_improvement_actions,num_donor_actions_entered_beam,num_receiver_actions_entered_beam,num_pair_actions_entered_beam,num_complete_trajectories,num_final_budget_feasible_trajectories,invalid_inactive_nonzero,invalid_entropy_decode
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,64,337,8088,2253,2832,4579,1860,161,292,171,7,7,12,0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,64,359,8616,2194,2987,4710,2059,137,337,123,7,7,18,0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,64,327,7848,1953,2480,4457,1940,189,279,144,7,1,4,0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,64,327,7848,2248,2482,4575,1798,140,279,121,5,5,8,0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,64,349,8376,2462,3075,4616,1870,169,310,154,5,5,12,0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,64,304,7296,2002,2486,4219,1731,163,253,135,7,7,18,0
uvg,Beauty,0,1,64,307,7368,1908,2420,4512,1844,173,271,131,3,3,0,0
uvg,Beauty,0,3,64,339,8136,2201,3086,5304,2306,166,321,142,7,1,3,0
uvg,Bosphorus,1,1,64,347,8328,2323,3050,5878,2642,160,338,184,7,1,8,0
uvg,Bosphorus,1,3,64,352,8448,2070,2834,5420,2449,149,350,156,7,7,7,0
uvg,HoneyBee,2,1,64,330,7920,1932,2088,4832,1852,138,285,129,7,1,6,0
uvg,HoneyBee,2,3,64,327,7848,2001,2472,4809,1993,155,283,126,5,1,16,0
