dataset,video,video_id,qp,granularity,target_rate_ratio,baseline_bytes,target_bytes,selected_bytes,selected_rate_ratio,selection_type,I_bytes,z_bytes,w0_bytes,w1_bytes,mode_map_bits,mode_map_bytes,header_bytes,modified_frames,total_tiles,number_1x_tiles,number_2x_tiles,PSNR,MS_SSIM,LPIPS,DISTS,decode_audit_pass,bitstream_path,bitstream_sha256
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G4,0.99,57653,57076,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G4,0.975,57653,56211,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G4,0.95,57653,54770,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G4,0.9,57653,51887,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,0.99,57653,57076,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,0.975,57653,56211,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,0.95,57653,54770,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,0.9,57653,51887,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,0.99,57653,57076,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,0.975,57653,56211,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,0.95,57653,54770,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,0.9,57653,51887,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G4,0.99,96549,95583,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G4,0.975,96549,94135,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G4,0.95,96549,91721,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G4,0.9,96549,86894,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G8,0.99,96549,95583,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G8,0.975,96549,94135,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G8,0.95,96549,91721,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G8,0.9,96549,86894,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G16,0.99,96549,95583,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G16,0.975,96549,94135,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G16,0.95,96549,91721,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G16,0.9,96549,86894,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G4,0.99,52078,51557,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
