dataset,video,video_id,qp,frame,granularity,candidate_fraction,raw_bitmap_bits,rle_bits,sparse_bits,inverse_sparse_bits,selected_syntax,selected_map_bits,aligned_map_bytes
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,1,G4,0.0,510,0,0,0,ORIGINAL_NO_MAP,0,0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,1,G4,0.1,510,294,270,560,SPARSE_2X,270,34
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,1,G4,0.2,510,432,405,583,SPARSE_2X,405,51
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,1,G4,0.35,510,535,520,590,SPARSE_2X,520,65
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,1,G4,0.5,510,535,558,562,RASTER_RLE,535,67
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,1,G4,0.7,510,479,574,472,INVERSE_SPARSE_1X,472,59
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,1,G4,1.0,510,100,532,84,INVERSE_SPARSE_1X,84,11
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,2,G4,0.0,510,0,0,0,ORIGINAL_NO_MAP,0,0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,2,G4,0.1,510,306,288,566,SPARSE_2X,288,36
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,2,G4,0.2,510,436,417,583,SPARSE_2X,417,53
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,2,G4,0.35,510,520,508,596,SPARSE_2X,508,64
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,2,G4,0.5,510,528,542,572,RASTER_RLE,528,66
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,2,G4,0.7,510,461,560,448,INVERSE_SPARSE_1X,448,56
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,2,G4,1.0,510,108,534,92,INVERSE_SPARSE_1X,92,12
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,3,G4,0.0,510,0,0,0,ORIGINAL_NO_MAP,0,0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,3,G4,0.1,510,298,284,566,SPARSE_2X,284,36
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,3,G4,0.2,510,425,409,577,SPARSE_2X,409,52
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,3,G4,0.35,510,493,482,564,SPARSE_2X,482,61
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,3,G4,0.5,510,485,524,524,RASTER_RLE,485,61
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,3,G4,0.7,510,434,552,426,INVERSE_SPARSE_1X,426,54
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,3,G4,1.0,510,34,528,20,INVERSE_SPARSE_1X,20,3
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,4,G4,0.0,510,0,0,0,ORIGINAL_NO_MAP,0,0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,4,G4,0.1,510,308,288,566,SPARSE_2X,288,36
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,4,G4,0.2,510,430,419,587,SPARSE_2X,419,53
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,4,G4,0.35,510,504,490,580,SPARSE_2X,490,62
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,4,G4,0.5,510,544,546,560,RASTER_RLE,544,68
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,4,G4,0.7,510,461,570,448,INVERSE_SPARSE_1X,448,56
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,4,G4,1.0,510,58,530,44,INVERSE_SPARSE_1X,44,6
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,G4,0.0,510,0,0,0,ORIGINAL_NO_MAP,0,0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,G4,0.1,510,275,256,550,SPARSE_2X,256,32
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,G4,0.2,510,421,389,567,SPARSE_2X,389,49
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,G4,0.35,510,529,508,578,SPARSE_2X,508,64
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,G4,0.5,510,559,558,558,SPARSE_2X,558,70
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,G4,0.7,510,509,582,486,INVERSE_SPARSE_1X,486,61
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,G4,1.0,510,36,528,22,INVERSE_SPARSE_1X,22,3
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,6,G4,0.0,510,0,0,0,ORIGINAL_NO_MAP,0,0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,6,G4,0.1,510,304,286,562,SPARSE_2X,286,36
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,6,G4,0.2,510,440,415,585,SPARSE_2X,415,52
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,6,G4,0.35,510,486,492,576,RASTER_RLE,486,61
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,6,G4,0.5,510,475,522,512,RASTER_RLE,475,60
