dataset,video,video_id,qp,control,fraction,global_delta,total_tiles,number_1x_tiles,number_2x_tiles,number_4x_tiles,total_actual_bytes,actual_bits,bpp,kbps,I_bytes,z_bytes,w0_bytes,w1_bytes,mode_map_bits,mode_map_bytes,header_bytes,MSE,PSNR,MS_SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,decode_pass
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,random_G8_20pct,0.2,,8505,6804,1701,0,60053,480424,0.003620093074845679,225.19875,5095,12173,32732,6817,7464,958,2278,0.003782170872000279,24.455236949172146,0.9756494360044599,0.15636987215839326,0.0944277523085475,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_00_qp1_random_G8_20pct.bin,dd203a47d182ccc562d46ddeccaf038bde12a0bf9703ebb90bf22919f5159a01,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,random_G8_35pct,0.35,,8505,5481,3024,0,60060,480480,0.003620515046296296,225.225,5095,12125,33499,5876,9302,1187,2278,0.0037766672030556947,24.4741890647229,0.975622558966279,0.15558225626591593,0.09459027089178562,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_00_qp1_random_G8_35pct.bin,91555ecb4c489f737d04c581ebf026ecca50e15db8102dfa59d2709ef5adfad6,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,random_G8_50pct,0.5,,8505,4221,4284,0,58887,471096,0.0035498046875,220.82625,5095,12173,33315,4781,9760,1245,2278,0.0038339297570928466,24.397177068417548,0.9752754708752036,0.15788493736181408,0.09464486874639988,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_00_qp1_random_G8_50pct.bin,d3f9fbab62aaafc6148a3851a2ae39e0d9e37ec7b89fd498b68f1df15ad55091,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,random_G8_20pct,0.2,,8505,6804,1701,0,98289,786312,0.005925021701388889,368.58375,7971,15200,59339,12547,7428,954,2278,0.0027546050641831243,25.890059828307297,0.9824582505971193,0.12085611757356673,0.07402986381202936,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_00_qp3_random_G8_20pct.bin,45e3d5cbd30f8ebd835e9a31c3d87a4711e01f08224bfec2b494ca821ed0291b,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,random_G8_35pct,0.35,,8505,5481,3024,0,97135,777080,0.00585545669367284,364.25625,7971,15169,59818,10717,9201,1182,2278,0.002792954801407177,25.827737827909097,0.9821837758645415,0.1214439608156681,0.0749871963635087,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_00_qp3_random_G8_35pct.bin,f261a365851a249bfb051af1422ed196e7cfc10ff3e459c3b5b597af2f5dfb47,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,random_G8_50pct,0.5,,8505,4221,4284,0,96223,769784,0.005800479841820988,360.83625,7971,15244,60582,8911,9684,1237,2278,0.002811685757478699,25.792779367456554,0.9820756008848548,0.12144522333983332,0.07449305430054665,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_00_qp3_random_G8_50pct.bin,be44b1b4c48dae19b531865cf1792bda3f8c53919f7577733919ef05e5f956df,True
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,random_G8_20pct,0.2,,8505,6804,1701,0,54731,437848,0.0032992742091049383,205.03621378621378,5072,11921,28244,6263,7443,953,2278,0.00123510227240331,29.095037734499478,0.9787994464859366,0.1323024061275646,0.07753195613622665,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_01_qp1_random_G8_20pct.bin,4f74e610a63b3c5d0712ab85c6d003e02999abc1f92d10905d1b31818b32427e,True
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,random_G8_35pct,0.35,,8505,5481,3024,0,54308,434464,0.0032737750771604937,203.45154845154843,5072,12019,28485,5272,9238,1182,2278,0.0012434638792910846,29.065848213342317,0.9786438019946218,0.13362149486783892,0.07981905713677406,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_01_qp1_random_G8_35pct.bin,ca35d6ac5aed9a2b0513b7d56ec51bef46c282d5b8e6f9885a33de0cdc524f91,True
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,random_G8_50pct,0.5,,8505,4221,4284,0,53569,428552,0.003229226948302469,200.68306693306693,5072,11946,28760,4279,9669,1234,2278,0.0012607738717633765,29.004481817856835,0.9783232137560844,0.1341662835329771,0.07994059100747108,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_01_qp1_random_G8_50pct.bin,f3086278e715ea17d1c106bd9d9975d50050275cba46573b659aa2f293de30ba,True
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,random_G8_20pct,0.2,,8505,6804,1701,0,80547,644376,0.004855504918981481,301.74950049950047,7833,15191,44222,10068,7436,955,2278,0.000974455481809855,30.121885480989338,0.983423775061965,0.10571293870452791,0.06464748922735453,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_01_qp3_random_G8_20pct.bin,f9b3c629b39ef8b2ed171bb04ce79e570b8d3189c85c786fc2c6b1042a717ddf,True
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,random_G8_35pct,0.35,,8505,5481,3024,0,80128,641024,0.004830246913580247,300.1798201798202,7833,15232,44882,8716,9294,1187,2278,0.0009845433314694674,30.077593966367594,0.9832251677289605,0.10629279550630599,0.06345934979617596,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_01_qp3_random_G8_35pct.bin,a231b28837531b15cfe7d4da90b7548376f731b45c0d838642ee12e2480b9be4,True
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,random_G8_50pct,0.5,,8505,4221,4284,0,79150,633200,0.004771291473765432,296.515984015984,7833,15175,45498,7128,9702,1238,2278,0.000995873607280373,30.028436598153206,0.9830440375953913,0.10711891448590904,0.06537791714072227,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_01_qp3_random_G8_50pct.bin,9f78bbaf42f9909235cf5a45c86cb3e9708054454bf8a94fcd659aa268bc235e,True
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,random_G8_20pct,0.2,,8505,6804,1701,0,38422,307376,0.002316141010802469,143.93856143856144,3259,10442,18969,2518,7465,956,2278,0.0014485182673524832,28.407597300414018,0.9815932139754295,0.07654519058996812,0.07513627130538225,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_10_qp1_random_G8_20pct.bin,cc60726fff6f996761c86642f4b5d0a3be97a39e42ea3b355db99ff78e3a255b,True
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,random_G8_35pct,0.35,,8505,5481,3024,0,38288,306304,0.002308063271604938,143.43656343656346,3259,10524,18912,2130,9260,1185,2278,0.001457804439269239,28.3787713190995,0.9814026914536953,0.07714006555033848,0.0751250172033906,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_10_qp1_random_G8_35pct.bin,6148af6f7dc1522b342323ca35ef99136b878f9804c785bd5460a2023fb398e8,True
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,random_G8_50pct,0.5,,8505,4221,4284,0,38089,304712,0.0022960672260802467,142.69105894105894,3259,10466,19081,1763,9700,1242,2278,0.0014625107523897896,28.365928326352503,0.9813694162294269,0.0773937291232869,0.07601493876427412,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_10_qp1_random_G8_50pct.bin,6f39e26b77f4cbaaa5d098e568b5fc658020b1cc3dc6ed059f6e3c63b3372f96,True
