dataset,video,video_id,qp,granularity,frame,trajectory_id,parent_trajectory_id,cumulative_actual_bytes,baseline_prefix_bytes,prefix_rate_ratio,cumulative_RGB_MSE,number_1x_tiles,number_2x_tiles,modified_frames,beam_rank,bitstream_hash,DPB_state_hash
uvg,HoneyBee,2,1,G4,1,uvg_02_qp1_G4_T6,root,9619,10156,0.9471248523040567,0.002508454257622361,153,357,1,0,19f2dda0ceed258199e455255a61050a5f733517bf73835a8acd04a3853ca1db,d42c992e4535e32264ec74e8d90f4acd8535c9f1a2828b0809fb0e117a1724bd
uvg,HoneyBee,2,1,G4,1,uvg_02_qp1_G4_T5,root,9857,10156,0.9705592753052383,0.002455561887472868,255,255,1,1,5c5831b8749cd1406c7ccc1394c907b3aa1ed1abf1a1b20e3dcf01ec1e59d1f3,dc52f4adb637d06ca53fb9933e3c9adc797a368fdaec103a3a8c4c7b7d6e805f
uvg,HoneyBee,2,1,G4,1,uvg_02_qp1_G4_T3,root,10122,10156,0.9966522252855455,0.0024282559752464294,408,102,1,2,dd1cd4e40437d83330cd24b3184339a2973ac0a16e281bd544498d55c66be988,88e60f352b4643ae22683e4813ec669d73035d470be6ce248e904effe303d0f7
uvg,HoneyBee,2,1,G4,1,uvg_02_qp1_G4_T2,root,10171,10156,1.0014769594328476,0.0024280472425743937,459,51,1,3,321a9aaa3b2cb2de98c59eb79b36a24144e615601953bc52a5e362cdbb428e2b,2055fb3ce918817ba73dc75cf8b469e85f1ba2e5a10f96d86d36ede4e514be99
uvg,HoneyBee,2,1,G4,1,uvg_02_qp1_G4_T4,root,10010,10156,0.9856242615202836,0.0024339521769434214,331,179,1,4,9e07998616f7550dc9db8fc620baa07c4b0dbbaca9aa9aa36f592156fcdf869b,1d29d4e17d5906db6741ebcf12dcc193f30c653566854e18779ddf82b16d1930
uvg,HoneyBee,2,1,G4,1,uvg_02_qp1_G4_T7,root,9465,10156,0.9319614021268215,0.002537356805987656,0,510,1,5,74e2bc7e24c196980de567c81a30801ead1462819c9c928b00decd1f99ca1dfc,f92097cfda5fe16436bb0883f013cae978bac5332db061ba97c4876300f6501c
uvg,HoneyBee,2,1,G4,1,BASELINE_PATH,BASELINE_PATH,10156,10156,1.0,0.002432281500659883,510,0,0,-1,0b9fdf4dc0743c5078da660a04c51917cea4f8c5b888d80567ed4c98e752b2ce,b44f677115095d4eb4e6d03d6af13de28aac4f5ddd67b256c799f4bccd0ca6e8
uvg,HoneyBee,2,1,G4,2,uvg_02_qp1_G4_T21,uvg_02_qp1_G4_T6,10657,11372,0.9371262750615547,0.003583269426599145,153,867,2,0,b2ac3784855e4166c52f12c4cbad427e7721734a10b77372c1213f0876b553d8,72a1f889b2b73d765dc3f417213ca6531fa9963361d61f3b12c8b10c25ece1fd
uvg,HoneyBee,2,1,G4,2,uvg_02_qp1_G4_T49,uvg_02_qp1_G4_T4,11061,11372,0.9726521280337671,0.0034466544166207314,331,689,2,1,8647d2668b4fba7fe4df76ccc59ac89e98f2976593809fe34dc0196b66e4616a,b640df27a792f7901132aa52e383a7e180c8a23083eae9882e4d85b3990dc4ca
uvg,HoneyBee,2,1,G4,2,uvg_02_qp1_G4_T43,uvg_02_qp1_G4_T4,11306,11372,0.9941962715441435,0.0034292596392333508,841,179,1,2,77b5e1dc389e2e2e718bb696ecc2fe197f621f9b10056cfa82ff5c6e84f32f7b,e0fd932ca0e8122fb729eb514c06b01c5a26d0d305733defd4c33964168552c8
