dataset,video,video_id,qp,granularity,frames,tiles_probed,one_to_two_proposals,candidates_with_estimated_saving,candidate_maps,map_actual_RANS_encodes,G4_probe_reused,actual_RANS_encodes,beam_states_expanded,duplicate_beam_states_pruned,final_unique_bitstreams,final_unique_DPB_states,numerical_failures,decode_failures
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G4,64,32130,32130,24665,441,378,True,5607,801,468,12,10,0,0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,64,8505,8505,7633,441,378,False,5607,801,78,12,11,0,0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,64,2520,2520,2412,441,378,False,5607,801,0,12,12,0,0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G4,64,32130,32130,26491,441,378,True,5607,801,234,12,9,0,0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G8,64,8505,8505,7976,441,378,False,5607,801,0,12,11,0,0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G16,64,2520,2520,2471,441,378,False,5607,801,0,12,10,0,0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G4,64,32130,32130,26355,441,378,True,5607,801,351,12,8,0,0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G8,64,8505,8505,7876,441,378,False,5607,801,52,12,10,0,0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G16,64,2520,2520,2485,441,378,False,5607,801,0,12,9,0,0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G4,64,32130,32130,29716,441,378,True,5607,801,39,12,10,0,0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G8,64,8505,8505,8363,441,378,False,5607,801,0,12,12,0,0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G16,64,2520,2520,2518,441,378,False,5607,801,0,12,10,0,0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G4,64,32130,32130,20074,441,378,True,5607,801,871,12,5,0,0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G8,64,8505,8505,6598,441,378,False,5607,801,390,12,7,0,0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G16,64,2520,2520,2205,441,378,False,5607,801,143,12,4,0,0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G4,64,32130,32130,26332,441,378,True,5607,801,221,12,6,0,0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G8,64,8505,8505,8022,441,378,False,5607,801,0,12,8,0,0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G16,64,2520,2520,2474,441,378,False,5607,801,0,12,9,0,0
uvg,Beauty,0,1,G4,64,32130,32130,16097,441,378,True,5607,801,1547,12,7,0,0
uvg,Beauty,0,1,G8,64,8505,8505,5066,441,378,False,5607,801,1118,12,7,0,0
uvg,Beauty,0,1,G16,64,2520,2520,1811,441,378,False,5607,801,650,12,4,0,0
uvg,Beauty,0,3,G4,64,32130,32130,21044,441,378,True,5607,801,1014,12,12,0,0
uvg,Beauty,0,3,G8,64,8505,8505,6438,441,378,False,5607,801,572,12,9,0,0
uvg,Beauty,0,3,G16,64,2520,2520,2184,441,378,False,5607,801,156,12,2,0,0
uvg,Bosphorus,1,1,G4,64,32130,32130,17628,441,378,True,5607,801,1638,12,6,0,0
uvg,Bosphorus,1,1,G8,64,8505,8505,5328,441,378,False,5607,801,1287,12,9,0,0
uvg,Bosphorus,1,1,G16,64,2520,2520,1933,441,378,False,5607,801,689,12,8,0,0
uvg,Bosphorus,1,3,G4,64,32130,32130,18677,441,378,True,5607,801,1469,12,6,0,0
uvg,Bosphorus,1,3,G8,64,8505,8505,5739,441,378,False,5607,801,988,12,9,0,0
uvg,Bosphorus,1,3,G16,64,2520,2520,2107,441,378,False,5607,801,364,12,10,0,0
uvg,HoneyBee,2,1,G4,64,32130,32130,19882,441,378,True,5607,801,1508,12,9,0,0
uvg,HoneyBee,2,1,G8,64,8505,8505,5645,441,378,False,5607,801,1352,12,9,0,0
uvg,HoneyBee,2,1,G16,64,2520,2520,1790,441,378,False,5607,801,1118,12,7,0,0
uvg,HoneyBee,2,3,G4,64,32130,32130,20705,441,378,True,5607,801,1417,12,11,0,0
uvg,HoneyBee,2,3,G8,64,8505,8505,6060,441,378,False,5607,801,1053,12,10,0,0
uvg,HoneyBee,2,3,G16,64,2520,2520,2039,441,378,False,5607,801,559,12,10,0,0
