dataset,video_id,qp,total_block_probes,one_to_two_candidates,one_to_four_candidates,estimated_bits_decrease_candidates,actual_RANS_bytes_decrease_candidates,estimated_saving_zero_actual_byte_saving,filtered_by_actual_saved_bits_le_zero,entered_maps_2x_blocks,entered_maps_4x_blocks
fresh_ulong,0,1,64260,32130,32130,49346,167,0,64260,0,0
fresh_ulong,0,3,64260,32130,32130,53000,524,0,64260,0,0
fresh_ulong,1,1,64260,32130,32130,52721,137,0,64260,0,0
fresh_ulong,1,3,64260,32130,32130,59448,250,0,64260,0,0
fresh_ulong,10,1,64260,32130,32130,40177,4,0,64260,0,0
fresh_ulong,10,3,64260,32130,32130,52697,66,0,64260,0,0
uvg,0,1,64260,32130,32130,32195,2,0,64260,0,0
uvg,0,3,64260,32130,32130,42091,30,0,64260,0,0
uvg,1,1,64260,32130,32130,35256,6,0,64260,0,0
uvg,1,3,64260,32130,32130,37357,14,0,64260,0,0
uvg,2,1,64260,32130,32130,39764,41,0,64260,0,0
uvg,2,3,64260,32130,32130,41410,70,0,64260,0,0
pooled,,,771120,385560,385560,535462,1311,0,771120,0,0
