trajectory_id,parent_trajectory_id,frame,beam_rank,cumulative_estimated_bits,cumulative_actual_bytes,cumulative_RGB_MSE,number_2x_blocks_used,number_4x_blocks_used,bitstream_hash,decoded_w1_hash,DPB_state_hash,mode_history_hash,is_baseline_path
T3,root,1,0,10443.673828125,15170,0.012777488213032484,84,0,afcb90f6c5d7fc520e760e58680133c4df8ffc7b37773234a68975406bff048a,14da08106232da03d0cb356e9ffa621639deacfe5ce2116af0690bba485b68c7,01f5eae8dc6d314c784042adc9220cd955f5560f5b664237213b218b64022790,980e09d341f463ac4a55c9b6d87af2ce921cbd0b6ccc8f1fcbc1bbe7f37eccac,False
T4,root,1,1,9899.68359375,15117,0.012779064942151308,111,0,31face94e96f7924ca70f7791f70919e62c27b7a9462d6a273474c50ec10d9a2,989aef2e2c6d0ce587a10d645f9e7fcb218e6bb5f7751495764191c03256d499,6328c2e402b38dc86618550438376df379f1733c3bfc887b407a49a05f36856c,4156c7a9c3f22681df455c55d0ef52a0185ee63f046cb4db91f193b753723125,False
T2,root,1,2,10724.673828125,15194,0.012778836768120527,62,0,1ab230174505cb62546308161d6abb98cdcbc52192911e4ce38c2089e48c418b,0c658ac33e1623d5acb92935e67f077398e58d3ccfe4a6a070c5aee74f2df8fe,5059c304c2695fedcd2bc6a3ff9a8344f7790a261c254aecddc8f61b8267589b,1265132c2446d7b4788e4840e3dfcd65e6320e739b7958beaf330d7a49327de4,False
BASELINE_PATH,BASELINE_PATH,1,-1,11003.53515625,15131,0.012780791148543358,0,0,649b44126374b9a98b8a710f1de557e61693946f14a3252c71dba25e83ec36bd,b9229f4e66991a1d42dd7ddebfc81b8697818ff941f62383b0beea0b786d8222,6be896edb617723e547c07ef5c5e843a932ecbdef69164d9a782b4e8a61378a2,fa6efe17a5fb86ee012f32ebc13840ad6f0cbb3b84e7f778eadcea86bb6de90d,True
T15,T4,2,0,12736.1435546875,17014,0.01781776873394847,224,0,dd547ca228e6312463a1a214bbd6110a5c18b2413fc3a92466a0eef3c0d0a955,46b088793f89deb44ce3e0da1f645676e1bd30e21c8be86fed54e5abf208176d,9a92662a26cceba5593ae88678218b2057376a4bc0aff8a10b8ae899ecf7fdba,244d40ceb04f9ca7dd73b453eb11cbd5c2f102cc4ada1a27c38c14c3c54482f4,False
T9,T3,2,1,13339.2705078125,16966,0.017818707041442394,84,0,1fbd9c261d092bef62e9482554ea69a4bdcd012aa7811aa84b23b4c498aefac1,d508fe2b7f65e0c4555d425cbc1fce874b9d04dfd6ca6a078982cb0c5da99a06,39e118a4a6fea53cd2327436958e26ed562710bc188f490f9cd119e8eef23002,070639dd711c41068a65ca2881d728653e607570e5bc8482f01d3e166636d4ff,False
T13,T4,2,2,12965.849609375,16923,0.017820247914642096,111,0,e08c1dfbc0a9df2bd65cae4e3e06da039ca116229a5affb67dd9b3bb31cd3cec,2ca7897ee2308642c376da2ec43d1180a8a323f22ac6864ffce6af044ad442e6,4599d78c85395144a50bb1e4314081afd51f0d94510ee1ba8c6b732d0ad5499f,a04eac02d353e2e07d9964a283402d101bb97e746df725c5a160af2e241ddf4a,False
T11,T3,2,3,13125.6484375,17059,0.01781827164813876,197,0,f4669a6695a08f6009871099dfe674954cdef8e4f235ef398bdd44028205ac87,760e45d92f8f2285b8e252a4f6d1f47f18e38e47a350e3eea89a5b672f25718f,8284d8cf2e874b909d5b89c64734e17e25abd931ad294fe515de6ae4b236dbd0,e65d08d3e6906f343eccd11821e08a1331467462c7167654aa39dde665397eb0,False
T12,T3,2,4,12960.68505859375,17054,0.017818378750234842,249,0,8d632096120e24b43c5ef30bb8a8b5a6dcddf31f18f55a28ca02b2e862acb5bd,e3dca9cbf966deb876129386b73e9316350aa1ed024c896b804d0d45f296021d,90e413939c6911ea6ee2b437a344c807fd8e85bf698a73ca49ee0fdb2b4ef385,5d39ba98aec7f7ee2b2512bbe6330903c519f1543fcbf9811d39b31bdf7650dd,False
T14,T4,2,5,12835.72802734375,17010,0.017819375731050968,189,0,4227bd1bfccc629e446c1d91ec7c6c9c3118634e5b6e3d2c5a05c05f3f98ec00,9b668453bc13f004a1a7e27570daf72334ef240462c0b73e7e765bd646d28eab,e7efe2c62c95671025b54daa7427369edb8a657745845f7be1847640fbc165d9,40d52274e16eaba98d8fe4be8a371e5fe21aa7f74ecde62c389d51968b8f06fa,False
