mode,delta,fraction,frame,number_1x_blocks,number_2x_blocks,number_4x_blocks,actual_frame_bytes,z_bytes,w0_bytes,w1_bytes,mode_map_bytes,estimated_w1_bits,RGB_MSE,PSNR,decoded_w1_hash,DPB_state_hash
1,2.0,0.1,1,459,51,0,7040,412,5358,1230,4,9808.841796875,0.005329326260834932,22.73327691479306,aaa5506ecce79f4d28cae83696ba9fc21e9d1695a840869f6600db6b8a98493a,f462de3e4989b8a3ada0394a8c8622a759d10603141ba98b535f2a1f424ddfce
1,2.0,0.1,2,459,51,0,1750,201,1205,304,4,2404.051513671875,0.005110814236104488,22.91509904155489,903ae212bd74833a5c669dbb080cfc0ccb84ad243ea304fcbec9c5ed3fa46fbf,8c539c9bbeac79d7ab66440a74be7534fb2f277266c71d1a39d2eeb1f550aad5
1,2.0,0.1,3,459,51,0,1419,470,720,189,4,1480.945068359375,0.005144978407770395,22.88616443526591,1335409cf22ca6d0ecd7b2af6b532235df210d9721ecfd65cf5288105b2569ec,3add631d940574d151717cd7b7d4cb8b9802f781b18b7d2b9e8816423d696d3d
1,2.0,0.1,4,459,51,0,2214,493,1375,306,4,2417.8193359375,0.004881558008491993,23.114415455175177,b2da1a13d03f26375666c470ede653d499f09a5e82d5eb76c3bd269146426c2f,cb289c1ce8faf854bec75c9f194474a0cb3fbfb8b03bdfc7c79ac639d36375ce
1,2.0,0.1,5,459,51,0,2658,447,1767,404,4,3202.447265625,0.004611066542565823,23.361986104067853,b245b64ed665d4e3bb2a62e9fd7d13b3e6e867a1446515973427a61ca0ae4f21,7cbb2f490700ae0ae311f93512c57b4fbde970cbd4801002e5f8b5cffe364f61
1,2.0,0.1,6,459,51,0,2032,462,1231,299,4,2359.792236328125,0.004517028108239174,23.45147206933583,58099229cf554488caf53be244360c5412a41e5acac28a7d76d402e4273da157,ade4018201d6ec044b8020d3e00bee0221e742571169faf6a4aaa1484834535f
1,2.0,0.1,7,459,51,0,2026,506,1184,296,4,2340.5185546875,0.004324153531342745,23.640988945912472,93d05bc2c1c5355b32dea82accdc48aec72139f2b7f9d2fdcc6a7e8e25e5415d,4de24c4f588786897c4bb2290238e89f22bca7d7aef3644c746a16a9725e33ab
1,2.0,0.25,1,382,128,0,6859,412,5358,1048,5,8352.619140625,0.005422040354460478,22.658372544327214,7957475d85ff1020230266d93e834ec83f8e7d02bf8c9a314c44407df03da277,42594818c31510abb528cd72cee2e088b5013d66efc0b3ea3770c492f47f2997
1,2.0,0.25,2,382,128,0,1689,198,1202,248,5,1953.631591796875,0.005208561662584543,22.83282189991167,1644da5c367ed3e86b0cf70e6c2fea638a21387b3763bf1970122cce67502d54,1f23fd8a80f30aa843ba3c29efa0794c03eb4c6933858a5be38eb58a455a0b4c
1,2.0,0.25,3,382,128,0,1392,476,719,156,5,1219.6534423828125,0.005226906854659319,22.817552391155477,b1f325f487664a2fba8d6f215b0cca58d97d5c202429f348e4ec08143f3518aa,2b20f3bca9d34bb25455532efd9f286d1f6b1594352eac6c4db8150498c6e8e5
