dataset,video,video_id,QP,target_rate_ratio,baseline_total_bytes,target_bytes,selected_total_bytes,selected_rate_ratio,selection_type,I_bytes,z_bytes,w0_bytes,w1_bytes,mode_map_bytes,modified_frames,number_1x_blocks,number_2x_blocks,number_4x_blocks,PSNR,MS-SSIM,LPIPS,DISTS,decode_audit_pass
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,0.95,57653,54770,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,0.9,57653,51887,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,0.8,57653,46122,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,0.95,96549,91721,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,0.9,96549,86894,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,0.8,96549,77239,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,0.95,52078,49474,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,0.9,52078,46870,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,0.8,52078,41662,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,0.95,78986,75036,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,0.9,78986,71087,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,0.8,78986,63188,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,0.95,35312,33546,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,0.9,35312,31780,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,0.8,35312,28249,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,0.95,60467,57443,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,0.9,60467,54420,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,0.8,60467,48373,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
uvg,Beauty,0,1,0.95,22057,20954,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
uvg,Beauty,0,1,0.9,22057,19851,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
uvg,Beauty,0,1,0.8,22057,17645,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
uvg,Beauty,0,3,0.95,41349,39281,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
uvg,Beauty,0,3,0.9,41349,37214,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
uvg,Beauty,0,3,0.8,41349,33079,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
uvg,Bosphorus,1,1,0.95,30994,29444,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
uvg,Bosphorus,1,1,0.9,30994,27894,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
uvg,Bosphorus,1,1,0.8,30994,24795,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
uvg,Bosphorus,1,3,0.95,51949,49351,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
uvg,Bosphorus,1,3,0.9,51949,46754,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
uvg,Bosphorus,1,3,0.8,51949,41559,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
uvg,HoneyBee,2,1,0.95,28168,26759,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
uvg,HoneyBee,2,1,0.9,28168,25351,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
uvg,HoneyBee,2,1,0.8,28168,22534,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
uvg,HoneyBee,2,3,0.95,44679,42445,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
uvg,HoneyBee,2,3,0.9,44679,40211,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
uvg,HoneyBee,2,3,0.8,44679,35743,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,
