dataset,video,video_id,qp,target_rate_ratio,target_bytes,trajectory_id,selection_type,selected_total_bytes,cumulative_RGB_MSE
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,0.95,54770,,TARGET_NOT_REACHED,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,0.9,51887,,TARGET_NOT_REACHED,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,0.8,46122,,TARGET_NOT_REACHED,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,0.95,91721,,TARGET_NOT_REACHED,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,0.9,86894,,TARGET_NOT_REACHED,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,0.8,77239,,TARGET_NOT_REACHED,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,0.95,49474,,TARGET_NOT_REACHED,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,0.9,46870,,TARGET_NOT_REACHED,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,0.8,41662,,TARGET_NOT_REACHED,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,0.95,75036,,TARGET_NOT_REACHED,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,0.9,71087,,TARGET_NOT_REACHED,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,0.8,63188,,TARGET_NOT_REACHED,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,0.95,33546,,TARGET_NOT_REACHED,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,0.9,31780,,TARGET_NOT_REACHED,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,0.8,28249,,TARGET_NOT_REACHED,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,0.95,57443,,TARGET_NOT_REACHED,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,0.9,54420,,TARGET_NOT_REACHED,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,0.8,48373,,TARGET_NOT_REACHED,,
uvg,Beauty,0,1,0.95,20954,,TARGET_NOT_REACHED,,
uvg,Beauty,0,1,0.9,19851,,TARGET_NOT_REACHED,,
uvg,Beauty,0,1,0.8,17645,,TARGET_NOT_REACHED,,
uvg,Beauty,0,3,0.95,39281,,TARGET_NOT_REACHED,,
uvg,Beauty,0,3,0.9,37214,,TARGET_NOT_REACHED,,
uvg,Beauty,0,3,0.8,33079,,TARGET_NOT_REACHED,,
uvg,Bosphorus,1,1,0.95,29444,,TARGET_NOT_REACHED,,
uvg,Bosphorus,1,1,0.9,27894,,TARGET_NOT_REACHED,,
uvg,Bosphorus,1,1,0.8,24795,,TARGET_NOT_REACHED,,
uvg,Bosphorus,1,3,0.95,49351,,TARGET_NOT_REACHED,,
uvg,Bosphorus,1,3,0.9,46754,,TARGET_NOT_REACHED,,
uvg,Bosphorus,1,3,0.8,41559,,TARGET_NOT_REACHED,,
uvg,HoneyBee,2,1,0.95,26759,,TARGET_NOT_REACHED,,
uvg,HoneyBee,2,1,0.9,25351,,TARGET_NOT_REACHED,,
uvg,HoneyBee,2,1,0.8,22534,,TARGET_NOT_REACHED,,
uvg,HoneyBee,2,3,0.95,42445,,TARGET_NOT_REACHED,,
uvg,HoneyBee,2,3,0.9,40211,,TARGET_NOT_REACHED,,
uvg,HoneyBee,2,3,0.8,35743,,TARGET_NOT_REACHED,,
