dataset,video,video_id,qp,frame,w1_shape,block_index,block_y,block_x,pixel_y0,pixel_x0,mode,delta,original_bytes,candidate_bytes,actual_delta_bytes,baseline_RGB_MSE,candidate_RGB_MSE,delta_MSE,baseline_PSNR,candidate_PSNR,mode_map_overhead,raw_map_bits,coded_map_bits,estimated_w1_entropy_bits,actual_w1_RANS_bytes,actual_bytes_saved,delta_MSE_per_actual_saved_bit
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,0,0,0,0,0,1,2,7105,7157,52,0.0009554006392136216,0.0009574283612892032,2.0277220755815506e-06,30.198144724865614,30.188937118353035,35,1020,22,10756.728515625,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,0,0,0,0,0,2,4,7105,7157,52,0.0009554006392136216,0.0009574283612892032,2.0277220755815506e-06,30.198144724865614,30.188937118353035,35,1020,22,10756.69140625,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,1,0,1,0,4,1,2,7105,7156,51,0.0009554006392136216,0.0009561337647028267,7.33125489205122e-07,30.198144724865614,30.19481344953556,36,1020,25,10740.888671875,1362,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,1,0,1,0,4,2,4,7105,7156,51,0.0009554006392136216,0.0009561337647028267,7.33125489205122e-07,30.198144724865614,30.19481344953556,36,1020,25,10740.837890625,1362,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,2,0,2,0,8,1,2,7105,7156,51,0.0009554006392136216,0.0009555984870530665,1.9784783944487572e-07,30.198144724865614,30.197245465163675,36,1020,27,10736.669921875,1362,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,2,0,2,0,8,2,4,7105,7156,51,0.0009554006392136216,0.0009555984870530665,1.9784783944487572e-07,30.198144724865614,30.197245465163675,36,1020,27,10736.609375,1362,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,3,0,3,0,12,1,2,7105,7158,53,0.0009554006392136216,0.000954610644839704,-7.899943739175797e-07,30.198144724865614,30.201737271357413,36,1020,27,10751.6484375,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,3,0,3,0,12,2,4,7105,7158,53,0.0009554006392136216,0.000954610644839704,-7.899943739175797e-07,30.198144724865614,30.201737271357413,36,1020,27,10751.6015625,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,4,0,4,0,16,1,2,7105,7158,53,0.0009554006392136216,0.0009544040658511221,-9.965733624994755e-07,30.198144724865614,30.202677191984172,36,1020,29,10754.9287109375,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,4,0,4,0,16,2,4,7105,7158,53,0.0009554006392136216,0.0009544040658511221,-9.965733624994755e-07,30.198144724865614,30.202677191984172,36,1020,29,10754.876953125,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,5,0,5,0,20,1,2,7105,7157,52,0.0009554006392136216,0.0009564607171341777,1.0600779205560684e-06,30.198144724865614,30.193328622098146,36,1020,29,10743.248046875,1363,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,5,0,5,0,20,2,4,7105,7157,52,0.0009554006392136216,0.0009564607171341777,1.0600779205560684e-06,30.198144724865614,30.193328622098146,36,1020,29,10743.166015625,1363,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,6,0,6,0,24,1,2,7105,7157,52,0.0009554006392136216,0.0009551402181386948,-2.604210749268532e-07,30.198144724865614,30.199328676897593,36,1020,29,10744.2578125,1363,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,6,0,6,0,24,2,4,7105,7157,52,0.0009554006392136216,0.0009551402181386948,-2.604210749268532e-07,30.198144724865614,30.199328676897593,36,1020,29,10744.1044921875,1363,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,7,0,7,0,28,1,2,7105,7156,51,0.0009554006392136216,0.0009549626847729087,-4.3795444071292877e-07,30.198144724865614,30.20013598168959,36,1020,29,10739.927734375,1362,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,7,0,7,0,28,2,4,7105,7156,51,0.0009554006392136216,0.0009549626847729087,-4.3795444071292877e-07,30.198144724865614,30.20013598168959,36,1020,29,10739.8447265625,1362,False,
