dataset,video,video_id,qp,total_spatial_blocks,probed_blocks,one_to_two_exact_evaluations,one_to_four_exact_evaluations,probe_exact_RANS_encodes,sequence_candidate_maps_evaluated,search_exact_RANS_encodes,beam_trajectories_expanded,duplicated_beam_state_hashes,numerical_failures,exact_RANS_encodes,unique_final_bitstream_hashes,decode_failures
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,32130,32130,32130,32130,64260,2435,2435,487,1461,0,66695,0,0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,32130,32130,32130,32130,64260,2435,2435,487,1461,0,66695,0,0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,32130,32130,32130,32130,64260,2435,2435,487,1461,0,66695,0,0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,32130,32130,32130,32130,64260,2435,2435,487,1461,0,66695,0,0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,32130,32130,32130,32130,64260,2435,2435,487,1461,0,66695,0,0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,32130,32130,32130,32130,64260,2435,2435,487,1461,0,66695,0,0
uvg,Beauty,0,1,32130,32130,32130,32130,64260,2435,2435,487,1461,0,66695,0,0
uvg,Beauty,0,3,32130,32130,32130,32130,64260,2435,2435,487,1461,0,66695,0,0
uvg,Bosphorus,1,1,32130,32130,32130,32130,64260,2435,2435,487,1461,0,66695,0,0
uvg,Bosphorus,1,3,32130,32130,32130,32130,64260,2435,2435,487,1461,0,66695,0,0
uvg,HoneyBee,2,1,32130,32130,32130,32130,64260,2435,2435,487,1461,0,66695,0,0
uvg,HoneyBee,2,3,32130,32130,32130,32130,64260,2435,2435,487,1461,0,66695,0,0
