dataset,video,video_id,qp,control,global_delta,total_actual_bytes,actual_bits,bpp,kbps,I_bytes,z_bytes,w0_bytes,w1_bytes,mode_map_bytes,header_bytes,MSE,PSNR,MS_SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,decode_audit_pass
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,uniform_2x,2,55407,443256,0.0033400245949074072,207.77625,5095,12153,35402,481,0,2276,0.004080234870343702,24.12447150905432,0.9736578827723861,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/fresh_ulong_00_qp1_uniform_2x.bin,619687ce5d46f7237accaa36c3789f2d7e9646cace064b6d76109a4f1ceb15d3,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,uniform_4x,4,55058,440464,0.0033189863040123456,206.4675,5095,12208,35225,252,0,2278,0.00412729311210569,24.064110296332057,0.9733696402981877,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/fresh_ulong_00_qp1_uniform_4x.bin,6e4115872afa84eb6cce4223a3e24ec070a5ca71903003cace37bbdd015400de,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,uniform_2x,2,89377,715016,0.005387791763117284,335.16375,7971,15347,62837,945,0,2277,0.0030284959211712703,25.456250876929307,0.9806302823126316,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/fresh_ulong_00_qp3_uniform_2x.bin,d64e873f1015592979bd646a3195cc320d5cd25a278226be61bff6cdf95d184d,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,uniform_4x,4,89471,715768,0.005393458236882716,335.51625,7971,15381,63559,282,0,2278,0.003097741620877059,25.342593696819712,0.9801213834434748,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/fresh_ulong_00_qp3_uniform_4x.bin,a3fd3bb808a28084510867f803f53456ea69e774732743c73c08d22db0b9fdc2,True
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,uniform_2x,2,50028,400224,0.003015769675925926,187.41758241758242,5072,11886,30351,441,0,2278,0.0013406801554083358,28.73517897146518,0.9769074935466051,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/fresh_ulong_01_qp1_uniform_2x.bin,3d708259335f1222e40bf0790921f72a9bee61ab25f528dc48e14b8748333119,True
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,uniform_4x,4,50122,400976,0.003021436149691358,187.76973026973027,5072,12041,30479,252,0,2278,0.0013526876955438638,28.697239447211185,0.9767105104401708,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/fresh_ulong_01_qp1_uniform_4x.bin,ea8c32b67d3b805936accf09423df15cfd766095a1bedf18a0322fec88f45c92,True
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,uniform_2x,2,74693,597544,0.0045026162229938275,279.8189310689311,7833,15313,48591,678,0,2278,0.0010463948756296304,29.811533045766478,0.982150487601757,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/fresh_ulong_01_qp3_uniform_2x.bin,e9cc1fe60a999ce472a0f945f9a1c096be64ca3ed54598a29e5326d1e7fa54a4,True
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,uniform_4x,4,74049,592392,0.004463794849537037,277.40634365634367,7833,15271,48402,265,0,2278,0.001072268682946742,29.705202478769117,0.981667940504849,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/fresh_ulong_01_qp3_uniform_4x.bin,7df850c26076ad013718eb4ebbe883f3f6e5bb21f9a738369265cfb8083f0426,True
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,uniform_2x,2,35960,287680,0.00216772762345679,134.7152847152847,3259,10501,19527,398,0,2275,0.0015210854180622846,28.19768640743492,0.9804984470829368,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/fresh_ulong_10_qp1_uniform_2x.bin,d36d1e9cd85ef97b0895a9c486bf482190a8c3468947a55b5224431da4f4c847,True
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,uniform_4x,4,35950,287600,0.0021671248070987653,134.67782217782218,3259,10504,19655,256,0,2276,0.001545975499539054,28.12644794453499,0.9801452727988362,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/fresh_ulong_10_qp1_uniform_4x.bin,eb86061e3db180558e58cfcc7e38ee7c9e0d5621f39c6a1571aed4eb5a19baed,True
