dataset,video,video_id,qp,granularity,selection_label,target_rate_ratio,baseline_bytes,target_bytes,selection_type,selected_bytes,selected_rate_ratio,I_frame_bytes,z_bytes,w0_bytes,original_retained_w1_bytes,replacement_correction_bytes,mode_map_bytes,alignment_bytes,headers_bytes,MSE,PSNR,MS_SSIM,LPIPS,DISTS,total_pixel_SSE,total_pixels,aggregate_MSE,sequence_PSNR,mean_frame_PSNR,decode_status,bitstream_path,bitstream_sha256
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,TARGET_0.99,0.99,57653,57076,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,TARGET_0.975,0.975,57653,56211,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,TARGET_0.95,0.95,57653,54770,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,TARGET_0.9,0.9,57653,51887,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,TARGET_0.8,0.8,57653,46122,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,BEST_RATE_WITH_NONWORSE_SSE,,57653,57652,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,BEST_SSE_UNDER_BASELINE_RATE,,57653,57653,REPLACEMENT,57653,1.0,5095,12228,32276,7793,0,0,0,261,0.0037327407699194737,24.52116441850623,0.9759418275207281,0.15588989714160562,0.09348528552800417,1486120.5760921896,398131200,0.0037327408052727083,24.279721656450665,24.52116441850623,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_00_qp1_G8_BEST_SSE_UNDER_BASELINE_RATE_fresh_ulong_00_qp1_G8_T3202.bin,fc99a3ab6fe7472249a201022d1d522e575a4aa3f13271cfc5cf37505355cca6
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,TARGET_0.99,0.99,57653,57076,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,TARGET_0.975,0.975,57653,56211,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,TARGET_0.95,0.95,57653,54770,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,TARGET_0.9,0.9,57653,51887,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,TARGET_0.8,0.8,57653,46122,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,BEST_RATE_WITH_NONWORSE_SSE,,57653,57652,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,BEST_SSE_UNDER_BASELINE_RATE,,57653,57653,REPLACEMENT,57653,1.0,5095,12228,32276,7793,0,0,0,261,0.0037327407699194737,24.52116441850623,0.9759418275207281,0.15588989714160562,0.09348528552800417,1486120.5760921896,398131200,0.0037327408052727083,24.279721656450665,24.52116441850623,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_00_qp1_G16_BEST_SSE_UNDER_BASELINE_RATE_fresh_ulong_00_qp1_G16_T3007.bin,fc99a3ab6fe7472249a201022d1d522e575a4aa3f13271cfc5cf37505355cca6
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G8,TARGET_0.99,0.99,96549,95583,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G8,TARGET_0.975,0.975,96549,94135,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G8,TARGET_0.95,0.95,96549,91721,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G8,TARGET_0.9,0.9,96549,86894,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G8,TARGET_0.8,0.8,96549,77239,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G8,BEST_RATE_WITH_NONWORSE_SSE,,96549,96548,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G8,BEST_SSE_UNDER_BASELINE_RATE,,96549,96549,REPLACEMENT,96549,1.0,7971,15343,58575,14408,0,0,0,252,0.002720622742344858,25.9471324105213,0.9826976666226983,0.1200498960679397,0.07413897477090359,1083164.8174869283,398131200,0.0027206227934081237,25.653316677378335,25.9471324105213,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_00_qp3_G8_BEST_SSE_UNDER_BASELINE_RATE_fresh_ulong_00_qp3_G8_T3180.bin,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G16,TARGET_0.99,0.99,96549,95583,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G16,TARGET_0.975,0.975,96549,94135,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G16,TARGET_0.95,0.95,96549,91721,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G16,TARGET_0.9,0.9,96549,86894,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G16,TARGET_0.8,0.8,96549,77239,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G16,BEST_RATE_WITH_NONWORSE_SSE,,96549,96548,REPLACEMENT,96513,0.9996271323369481,7971,15213,58652,14336,0,15,0,326,0.0027178082364116563,25.95285518235799,0.9827072462067008,0.11993509228341281,0.0739981196820736,1082044.2744035395,398131200,0.0027178082863225476,25.65781181572889,25.95285518235799,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_00_qp3_G16_BEST_RATE_WITH_NONWORSE_SSE_fresh_ulong_00_qp3_G16_T3393.bin,673d5a79b624699865f7a7c68463062f0672f98a78acb000b5e06797b7f92e6a
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G16,BEST_SSE_UNDER_BASELINE_RATE,,96549,96549,REPLACEMENT,96513,0.9996271323369481,7971,15213,58652,14336,0,15,0,326,0.0027178082364116563,25.95285518235799,0.9827072462067008,0.11993509228341281,0.0739981196820736,1082044.2744035395,398131200,0.0027178082863225476,25.65781181572889,25.95285518235799,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_00_qp3_G16_BEST_RATE_WITH_NONWORSE_SSE_fresh_ulong_00_qp3_G16_T3393.bin,673d5a79b624699865f7a7c68463062f0672f98a78acb000b5e06797b7f92e6a
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G8,TARGET_0.99,0.99,52078,51557,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G8,TARGET_0.975,0.975,52078,50776,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G8,TARGET_0.95,0.95,52078,49474,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G8,TARGET_0.9,0.9,52078,46870,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G8,TARGET_0.8,0.8,52078,41662,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G8,BEST_RATE_WITH_NONWORSE_SSE,,52078,52077,REPLACEMENT,52025,0.9989822957870886,5072,12185,27551,6852,7,24,0,334,0.0012185410650999984,29.154677962961134,0.9790748730301857,0.13165507931262255,0.07711378950625658,485139.22545238776,398131200,0.0012185410875922003,29.141598223974153,29.154677962961134,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_01_qp1_G8_BEST_RATE_WITH_NONWORSE_SSE_fresh_ulong_01_qp1_G8_T3204.bin,2dae0d3f632c85680fe5343bf518dfd239ba255250decc69c7364fd5135fad38
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G8,BEST_SSE_UNDER_BASELINE_RATE,,52078,52078,REPLACEMENT,52065,0.9997503744383425,5072,12181,27555,6854,7,26,0,370,0.0012185006162326317,29.15482157524888,0.9790754336863756,0.13165393378585577,0.07711428962647915,485123.12152513134,398131200,0.0012185006387972893,29.141742388009106,29.15482157524888,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_01_qp1_G8_BEST_SSE_UNDER_BASELINE_RATE_fresh_ulong_01_qp1_G8_T3201.bin,275575e20310c22fd467720030a3cfd5d8dc02bd5c5a80585080fd7003621b61
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G16,TARGET_0.99,0.99,52078,51557,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G16,TARGET_0.975,0.975,52078,50776,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G16,TARGET_0.95,0.95,52078,49474,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G16,TARGET_0.9,0.9,52078,46870,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G16,TARGET_0.8,0.8,52078,41662,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G16,BEST_RATE_WITH_NONWORSE_SSE,,52078,52077,REPLACEMENT,52008,0.9986558623603057,5072,12183,27479,6963,5,8,0,298,0.001221351076310384,29.14452895072074,0.9790221974253654,0.13201074663084,0.07712197955697775,486257.980691652,398131200,0.0012213511040874265,29.131594706591976,29.14452895072074,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_01_qp1_G16_BEST_RATE_WITH_NONWORSE_SSE_fresh_ulong_01_qp1_G16_T3068.bin,5dd844edb982eaae858c0b357eb1c1f20bc3a70d91dd662de4f6378e8a110976
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G16,BEST_SSE_UNDER_BASELINE_RATE,,52078,52078,REPLACEMENT,52064,0.9997311724720611,5072,12179,27496,6959,9,15,0,334,0.001221277905642637,29.144780105467145,0.9790235981345177,0.13200304529163986,0.07717668544501066,486228.8497494579,398131200,0.0012212779348854295,29.131854893302076,29.144780105467145,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_01_qp1_G16_BEST_SSE_UNDER_BASELINE_RATE_fresh_ulong_01_qp1_G16_T3083.bin,341fb6cc62e32f555e5ae0e88997101f88586f24bfdf8e6a21688f8ef41c0c8c
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G8,TARGET_0.99,0.99,78986,78196,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
