dataset,video,video_id,qp,granularity,frame,candidate_name,number_tiles,FULL_tiles,PRED_ONLY_tiles,CORR2_tiles,CORR4_tiles,actual_frame_bytes,pixel_SSE,MSE,mean_frame_PSNR,LPIPS,DISTS
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,1,FULL_000,40,40,0,0,0,5796,38209.10656682085,0.006142152938991785,22.116793560931484,0.17551560699939728,0.0611228346824646
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,1,PRED_ONLY_F005,40,38,2,0,0,5744,38499.39646690601,0.006188817787915468,22.08392317535345,0.17616194486618042,0.061564743518829346
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,1,PRED_ONLY_F010,40,36,4,0,0,5640,39225.96442937781,0.006305614020675421,22.002726087363897,0.17685683071613312,0.06217467784881592
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,1,PRED_ONLY_F020,40,32,8,0,0,5467,40227.9856499444,0.006466689985245466,21.893179523745957,0.17890170216560364,0.06354838609695435
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,1,CORR2_F005,40,38,0,2,0,5739,38771.71572726687,0.006232593208551407,22.05331219063709,0.17629601061344147,0.06147676706314087
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,1,CORR2_F010,40,37,0,3,0,5690,39116.19204672167,0.006287967786192894,22.01489669215629,0.17668229341506958,0.061791837215423584
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,1,CORR4_F005,40,38,0,0,2,5739,38771.71572726687,0.006232593208551407,22.05331219063709,0.17629601061344147,0.06147676706314087
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,1,CORR4_F010,40,37,0,0,3,5690,39116.19204672167,0.006287967786192894,22.01489669215629,0.17668229341506958,0.061791837215423584
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,1,MIX_L0,40,38,0,2,0,5836,38194.046192855676,0.006139732431620359,22.11850569901923,0.1754143238067627,0.061164140701293945
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,1,MIX_L0.01,40,39,1,0,0,5832,38194.69090170237,0.006139835808426142,22.118432391485893,0.17538073658943176,0.06112629175186157
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,1,MIX_L3,40,39,1,0,0,5788,38398.94803817746,0.006172670517116785,22.09526912133064,0.17597654461860657,0.061182260513305664
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,1,MIX_L10,40,34,6,0,0,5554,39557.24682461619,0.006358867511153221,21.96620181730363,0.17729760706424713,0.06252872943878174
