scope,dataset,video,video_id,qp,granularity,frame,channel,tile,num_symbols,exact_match_rate,MAE,mean_squared_error,RMSE,signed_error
VIDEO_QP,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,,32901120,0.9997241411890302,0.0002759176747950112,0.0002759176747950112,0.016610769843538594,-1.4042076044360227e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,1,,,522240,0.9969018697738647,0.003098192624747753,0.003098192624747753,0.05566141055298323,0.0
DATASET_QP,fresh_ulong,,,1,G16,,,,98703360,0.9997949470918646,0.0002052615148990318,0.00020558571863528403,0.014338260655856555,-2.57336742718522e-06
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,0,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,1,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,2,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,3,,514080,0.9902934006282261,0.009706660992436347,0.009706660992436347,0.09852238828020943,-0.000606909471643453
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,4,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,5,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,6,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,7,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,8,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,9,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,10,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,11,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,12,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,13,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,14,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,15,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,16,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,17,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,18,,514080,0.9967145825189258,0.003285481023975456,0.003285481023975456,0.05731911569429047,0.00014978214855387157
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,19,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,20,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,21,,514080,0.9993250634935167,0.0006749922569493749,0.0006749922569493749,0.025980613098027055,-8.753501941331677e-05
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,22,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,23,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,24,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,25,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,26,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,27,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,28,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,29,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,30,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,31,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,32,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,33,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,34,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,35,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,36,,514080,1.0,0.0,0.0,0.0,0.0
