dataset,video,video_id,qp,granularity,tiles,tile_exact_evaluations,frame_candidates,actual_RANS_encodes,beam_states_expanded,duplicate_states_pruned,complete_trajectories
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,8505,25515,198,2219,1033,0,17
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,2520,7560,192,2007,1050,0,17
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G8,8505,25515,196,2172,1041,0,17
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G16,2520,7560,216,2358,1054,0,17
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G8,8505,25515,198,2207,1041,0,17
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G16,2520,7560,192,2067,1045,0,17
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G8,8505,25515,217,2528,1041,0,17
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G16,2520,7560,227,2558,1053,0,17
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G8,8505,25515,214,2479,1031,0,17
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G16,2520,7560,200,2241,1031,0,17
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G8,8505,25515,236,2829,1043,0,17
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G16,2520,7560,218,2523,1043,0,17
uvg,Beauty,0,1,G8,8505,25515,213,2450,1042,0,17
uvg,Beauty,0,1,G16,2520,7560,215,2494,1041,0,17
uvg,Beauty,0,3,G8,8505,25515,237,2858,1042,0,17
uvg,Beauty,0,3,G16,2520,7560,235,2824,1042,0,17
uvg,Bosphorus,1,1,G8,8505,25515,167,1678,1041,0,17
uvg,Bosphorus,1,1,G16,2520,7560,172,1763,1041,0,17
uvg,Bosphorus,1,3,G8,8505,25515,168,1697,1041,0,17
uvg,Bosphorus,1,3,G16,2520,7560,168,1701,1037,0,17
uvg,HoneyBee,2,1,G8,8505,25515,168,1695,1041,0,17
uvg,HoneyBee,2,1,G16,2520,7560,166,1661,1041,0,17
uvg,HoneyBee,2,3,G8,8505,25515,177,1849,1036,0,17
uvg,HoneyBee,2,3,G16,2520,7560,173,1780,1041,0,17
