codec,dataset,video,video_id,rate_control,num_frames,fps,bitstream_path,bitstream_bytes,actual_bits,bpp,kbps,bitstream_sha256,decode_status
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_00_q0.bin,53555,428440,0.0032283830054012346,200.83125,1af9622857c36366a7b741c2e9b9e7ecb73fddc5732ec906864e9fa974308cfd,PASS
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_00_q1.bin,56441,451528,0.0034023558063271606,211.65375,ea8968529d2471a22f711563e231a8555b42f788137f2a0183533684fb88b7e6,PASS
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I10_P10,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_00_q10.bin,93623,748984,0.005643747588734568,351.08625,ee4ce969f18901de023b3f56ccf41071f70f83620718a4f978f37ec4c481ee73,PASS
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I11_P11,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_00_q11.bin,99998,799984,0.006028043016975309,374.9925,e9a68cd772bf92b867c6cdeee6f7e5bc92a393dab249918b6363d3d1e5bf74ac,PASS
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I16_P16,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_00_q16.bin,130742,1045936,0.00788134162808642,490.2825,091efa1b752865c8ee693b2059df7cc586077a3727f62adcfb0af52046938ba3,PASS
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I24_P24,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_00_q24.bin,195699,1565592,0.011797055844907407,733.87125,9ebddbc17436bdc06ca0270fac7a94ce80be1e2ba3316769ad8c7ad026aff2bc,PASS
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I32_P32,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_00_q32.bin,291401,2331208,0.017566128954475308,1092.75375,3e2a1db215fd6289cf0dc6223fa671b98769f463f33b5ae630fc90434d85116c,PASS
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I8_P8,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_00_q8.bin,84775,678200,0.005110375675154321,317.90625,9ffb2329208697a6a8b97eb699298c216f9675031fe74de6aad1b44c005c6f7f,PASS
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I11_P10,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_00_qi11_qp10.bin,94712,757696,0.005709394290123457,355.17,be5c002fe2db7de5286f44ee526a26db1cbcbc7f69a6f1080281601d02fc21a9,PASS
GVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,QP1,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_00_qp1.bin,57653,461224,0.003475417148919753,216.19875,fc99a3ab6fe7472249a201022d1d522e575a4aa3f13271cfc5cf37505355cca6,PASS
GVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,QP3,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_00_qp3.bin,96549,772392,0.005820131655092592,362.05875,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,PASS
DCVC-RT,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,I0_P0,64,29.97002997002997,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_01_q0.bin,21518,172144,0.001297140239197531,80.6118881118881,44feefa14de440c398e113dbec259eab3aa9d261068b109660237518bd4bad8e,PASS
