codec,dataset,video,video_id,rate_control,bitstream_path,bitstream_bytes,bytes_consumed,frame_count,frame_count_correct,shape_correct,finite,reconstruction_max_abs_diff_uint8,payload_identity,decode_status,model_hash_before,model_hash_after
GVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,QP1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_00_qp1.bin,57653,57653,64,True,True,True,0,True,PASS,,
GVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,QP3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_00_qp3.bin,96549,96549,64,True,True,True,0,True,PASS,,
GVC-RT,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,QP1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_01_qp1.bin,52078,52078,64,True,True,True,0,True,PASS,,
GVC-RT,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,QP3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_01_qp3.bin,78986,78986,64,True,True,True,0,True,PASS,,
GVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,QP1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_10_qp1.bin,35312,35312,64,True,True,True,0,True,PASS,,
GVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,QP3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_10_qp3.bin,60467,60467,64,True,True,True,0,True,PASS,,
GVC-RT,uvg,Beauty,0,QP1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_00_qp1.bin,22057,22057,64,True,True,True,0,True,PASS,,
GVC-RT,uvg,Beauty,0,QP3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_00_qp3.bin,41349,41349,64,True,True,True,0,True,PASS,,
GVC-RT,uvg,Bosphorus,1,QP1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_01_qp1.bin,30994,30994,64,True,True,True,0,True,PASS,,
GVC-RT,uvg,Bosphorus,1,QP3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_01_qp3.bin,51949,51949,64,True,True,True,0,True,PASS,,
GVC-RT,uvg,HoneyBee,2,QP1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_02_qp1.bin,28168,28168,64,True,True,True,0,True,PASS,,
GVC-RT,uvg,HoneyBee,2,QP3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_02_qp3.bin,44679,44679,64,True,True,True,0,True,PASS,,
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_00_q1.bin,56441,56441,64,True,True,True,0,,PASS,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8
