codec,dataset,video,video_id,rate_control,frame,pixel_SSE,MSE,PSNR,SSIM,MS_SSIM,LPIPS,DISTS,FloLPIPS
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,0,16918.111328125,0.0027196037117391825,25.654943747685746,0.989343523979187,0.9035338163375854,0.30548739433288574,0.15058797597885132,0.25484228134155273
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,1,11487.3203125,0.0018465985776856542,27.336275032839584,0.9925087690353394,0.9270760416984558,0.2576856017112732,0.10863316059112549,0.2385111004114151
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,2,11222.072265625,0.00180395960342139,27.43773191964593,0.9924291968345642,0.9278944730758667,0.25314751267433167,0.11089223623275757,0.24425987899303436
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,3,12537.328125,0.002015388337895274,26.956412588253933,0.9911014437675476,0.9234558939933777,0.2590579390525818,0.11001366376876831,0.3432930111885071
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,4,13864.439453125,0.002228722907602787,26.5194392307632,0.9893841743469238,0.9162566661834717,0.2651959955692291,0.10857903957366943,0.2657179832458496
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,5,14007.9453125,0.0022517915349453688,26.474718178231452,0.9879637360572815,0.9070411920547485,0.28355976939201355,0.1182783842086792,0.28257787227630615
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,6,14861.8076171875,0.0023890507873147726,26.217746177611684,0.9861634373664856,0.9010531306266785,0.2900298833847046,0.1178210973739624,0.27941620349884033
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,7,13482.130859375,0.0021672663278877735,26.640877164490213,0.9860237836837769,0.9022359848022461,0.286911278963089,0.11616218090057373,0.279694527387619
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,8,14590.38671875,0.0023454197216778994,26.297794273635773,0.983523428440094,0.8948909044265747,0.29775023460388184,0.11984086036682129,0.2574976980686188
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,9,12381.482421875,0.0019903359934687614,27.0107360309171,0.9842745065689087,0.8974800109863281,0.30275052785873413,0.12116438150405884,0.3160359263420105
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,10,13480.2919921875,0.0021669708658009768,26.64146927585086,0.9814707040786743,0.8904947638511658,0.31909891963005066,0.12935799360275269,0.2940269708633423
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,11,12404.01171875,0.0019939576741307974,27.00284064723727,0.9813480377197266,0.893748939037323,0.31304168701171875,0.12656837701797485,0.3235461711883545
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,12,13940.37109375,0.002240929054096341,26.495718926403956,0.9776573777198792,0.8865570425987244,0.32319045066833496,0.12917840480804443,0.3264978528022766
