dataset,video,video_id,frames,fps,gvc_qp,gvc_bytes,gvc_kbps,dcvc_rate_control,dcvc_bytes,dcvc_kbps,rate_difference_percent,match_status,gvc_bitstream_path,dcvc_bitstream_path,dcvc_sequence_PSNR,gvc_sequence_PSNR,delta_sequence_PSNR_GVC_minus_DCVC,dcvc_mean_frame_PSNR,gvc_mean_frame_PSNR,delta_mean_frame_PSNR_GVC_minus_DCVC,dcvc_SSIM,gvc_SSIM,delta_SSIM_GVC_minus_DCVC,dcvc_MS_SSIM,gvc_MS_SSIM,delta_MS_SSIM_GVC_minus_DCVC,dcvc_LPIPS,gvc_LPIPS,delta_LPIPS_GVC_minus_DCVC,dcvc_DISTS,gvc_DISTS,delta_DISTS_GVC_minus_DCVC,dcvc_FloLPIPS,gvc_FloLPIPS,delta_FloLPIPS_GVC_minus_DCVC
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,64,30.0,QP1,57653,216.19875,I1_P1,56441,211.65375,2.102232320954677,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_00_qp1.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_00_q1.bin,27.500916155432236,24.2784726795489,-3.2224434758833347,27.566189019716965,24.51983710046791,-3.046351919249055,0.9885271107777953,0.9759349320083857,-0.012592178769409657,0.9130846727639437,0.8789646336808801,-0.0341200390830636,0.24418278108350933,0.15612799860537052,-0.0880547824781388,0.172981440089643,0.09404746536165476,-0.07893397472798824,0.18067705110898094,0.14873663744046575,-0.03194041366851519
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,64,30.0,QP3,96549,362.05875,I11_P10,94712,355.17,1.9026608250732788,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_00_qp3.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_00_qi11_qp10.bin,29.640824029337875,25.651598236233486,-3.9892257931043886,29.712298345018954,25.945295026773067,-3.7670033182458873,0.9929795581847429,0.9826904963701963,-0.010289061814546585,0.9421814130619168,0.9119420433416963,-0.030239369720220566,0.18402392300777137,0.12025903642643243,-0.06376488658133894,0.13720559980720282,0.07449897658079863,-0.06270662322640419,0.14826936759645976,0.11414019686598627,-0.03412917073047349
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,64,29.97002997002997,QP1,52078,195.0974025974026,I19_P19,51888,194.3856143856144,0.364837359345597,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_01_qp1.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_01_q19.bin,35.505411759918545,29.124137563748846,-6.381274196169699,35.57990713868443,29.136945209795538,-6.442961928888895,0.9948707418516278,0.9789919285103679,-0.015878813341259956,0.9603073941543698,0.9144945675507188,-0.04581282660365105,0.17964561213739216,0.13210242695640773,-0.04754318518098444,0.16229942720383406,0.07691752072423697,-0.08538190647959709,0.22130833779062545,0.14296662038753902,-0.07834171740308643
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,64,29.97002997002997,QP3,78986,295.9015984015984,I28_P28,79821,299.02972027972027,1.0571493682424735,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_01_qp3.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_01_q28.bin,37.12539671263397,30.132729623593896,-6.992667089040076,37.17907665424842,30.14295268082883,-7.036123973419588,0.9964746106415987,0.9834825815632939,-0.012992029078304768,0.971117983572185,0.9336824025958776,-0.03743558097630739,0.14675172115676105,0.10497458721511066,-0.04177713394165039,0.13953353185206652,0.06255010329186916,-0.07698342856019735,0.1853656887062012,0.11347769886728316,-0.07188798983891805
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,64,29.97002997002997,QP1,35312,132.28771228771228,I16_P16,34526,129.34315684315683,2.2258722247394656,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_10_qp1.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q16.bin,36.964545081930254,28.454522614408,-8.510022467522255,37.03030032503327,28.470248397554215,-8.560051927479051,0.9964781105518341,0.9818267310038209,-0.01465137954801321,0.98253651894629,0.9664685744792223,-0.01606794446706772,0.07397149928146973,0.07825278677046299,0.004281287488993257,0.13872273825109005,0.0752648999914527,-0.06345783825963736,0.05489174690511492,0.06457958601060368,0.00968783910548876
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,64,29.97002997002997,QP3,60467,226.52472527472526,I28_P28,60920,228.2217782217782,0.7491689681975292,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_10_qp3.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q28.bin,39.604372032018745,29.099598879430452,-10.504773152588292,39.67084194062558,29.115980718729688,-10.55486122189589,0.9980878969654441,0.9851642334833741,-0.01292366348206997,0.9885841831564903,0.973461726680398,-0.015122456476092339,0.05131545278709382,0.06426907214336097,0.012953619356267154,0.10128914099186659,0.06255542207509279,-0.038733718916773796,0.041754800264560986,0.053618239682345165,0.011863439417784179
uvg,Beauty,0,64,120.0,QP1,22057,330.855,I26_P26,21751,326.265,1.3873146846806004,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_00_qp1.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_00_q26.bin,36.93314619261069,27.708986163851176,-9.224160028759517,36.94036498221383,27.7325335891566,-9.20783139305723,0.9958661114796996,0.9767200611531734,-0.019146050326526165,0.9451126465573907,0.9202129635959864,-0.024899682961404324,0.22821995336562395,0.15331398509442806,-0.07490596827119589,0.3004192626103759,0.14086613152176142,-0.15955313108861446,0.211444197429551,0.12567930491197676,-0.08576489251757424
uvg,Beauty,0,64,120.0,QP3,41349,620.235,I38_P38,41479,622.185,0.31439696244165516,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_00_qp3.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_00_q38.bin,37.93010445613517,28.070992704826253,-9.859111751308916,37.93299414024506,28.08037064513911,-9.852623495105949,0.9967327350750566,0.9787522228434682,-0.017980512231588364,0.9516987930983305,0.9291132809594274,-0.02258551213890314,0.205827520461753,0.12930477573536336,-0.07652274472638965,0.27014114800840616,0.13060207199305296,-0.1395390760153532,0.2043412502795931,0.11910272519739848,-0.08523852508219462
uvg,Bosphorus,1,64,120.0,QP1,30994,464.91,I27_P28,31718,475.77,2.3359359876105055,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_01_qp1.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_01_qi27_qp28.bin,36.545023489763885,30.86779812942165,-5.677225360342234,36.56768393006536,30.873849946302993,-5.693833983762364,0.9869175786152482,0.953407091088593,-0.0335104875266552,0.9499899260699749,0.9268986415117979,-0.023091284558176994,0.2118044493254274,0.1592573078814894,-0.05254714144393802,0.19494542200118303,0.13786612264811993,-0.05707929935306311,0.16374813516934714,0.13964323037200504,-0.02410490479734209
uvg,Bosphorus,1,64,120.0,QP3,51949,779.235,I36_P36,51533,772.995,0.8007853856667116,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_01_qp3.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_01_q36.bin,37.746376914568344,31.46289211167946,-6.283484802888886,37.76305834761179,31.468275879402263,-6.294782468209526,0.9900963827967644,0.9597402913495898,-0.03035609144717455,0.9611147223040462,0.9404744915664196,-0.020640230737626553,0.16949570598080754,0.12906390079297125,-0.04043180518783629,0.16585359908640385,0.11733276955783367,-0.048520829528570175,0.12361648383121641,0.11049558813609774,-0.013120895695118678
