dataset,video,video_id,frames,fps,gvc_qp,gvc_bytes,gvc_kbps,dcvc_rate_control,dcvc_bytes,dcvc_kbps,rate_difference_percent,match_status,gvc_bitstream_path,dcvc_bitstream_path
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,64,30.0,QP1,57653,216.19875,I1_P1,56441,211.65375,2.102232320954677,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_00_qp1.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_00_q1.bin
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,64,30.0,QP3,96549,362.05875,I11_P10,94712,355.17,1.9026608250732788,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_00_qp3.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_00_qi11_qp10.bin
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,64,29.97002997002997,QP1,52078,195.0974025974026,I19_P19,51888,194.3856143856144,0.364837359345597,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_01_qp1.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_01_q19.bin
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,64,29.97002997002997,QP3,78986,295.9015984015984,I28_P28,79821,299.02972027972027,1.0571493682424735,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_01_qp3.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_01_q28.bin
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,64,29.97002997002997,QP1,35312,132.28771228771228,I16_P16,34526,129.34315684315683,2.2258722247394656,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_10_qp1.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q16.bin
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,64,29.97002997002997,QP3,60467,226.52472527472526,I28_P28,60920,228.2217782217782,0.7491689681975292,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_10_qp3.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q28.bin
uvg,Beauty,0,64,120.0,QP1,22057,330.855,I26_P26,21751,326.265,1.3873146846806004,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_00_qp1.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_00_q26.bin
uvg,Beauty,0,64,120.0,QP3,41349,620.235,I38_P38,41479,622.185,0.31439696244165516,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_00_qp3.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_00_q38.bin
uvg,Bosphorus,1,64,120.0,QP1,30994,464.91,I27_P28,31718,475.77,2.3359359876105055,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_01_qp1.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_01_qi27_qp28.bin
uvg,Bosphorus,1,64,120.0,QP3,51949,779.235,I36_P36,51533,772.995,0.8007853856667116,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_01_qp3.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_01_q36.bin
uvg,HoneyBee,2,64,120.0,QP1,28168,422.52,I23_P23,28155,422.325,0.04615166145981255,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_02_qp1.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_02_q23.bin
uvg,HoneyBee,2,64,120.0,QP3,44679,670.185,I34_P34,43990,659.85,1.542111506524318,MATCH_LE_3PCT,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_02_qp3.bin,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_02_q34.bin
