path,codec,width,height,avg_frame_rate,frames,status
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/Beauty_QP1_vs_I26_P26_matched_triptych.mkv,ffv1,5760,1080,120/1,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/Beauty_QP1_vs_I26_P26_matched_triptych_view_only.mp4,h264,5760,1080,120/1,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/Beauty_QP3_vs_I38_P38_matched_triptych.mkv,ffv1,5760,1080,120/1,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/Beauty_QP3_vs_I38_P38_matched_triptych_view_only.mp4,h264,5760,1080,120/1,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/Bosphorus_QP1_vs_I27_P28_matched_triptych.mkv,ffv1,5760,1080,120/1,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/Bosphorus_QP1_vs_I27_P28_matched_triptych_view_only.mp4,h264,5760,1080,120/1,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/Bosphorus_QP3_vs_I36_P36_matched_triptych.mkv,ffv1,5760,1080,120/1,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/Bosphorus_QP3_vs_I36_P36_matched_triptych_view_only.mp4,h264,5760,1080,120/1,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/HoneyBee_QP1_vs_I23_P23_matched_triptych.mkv,ffv1,5760,1080,120/1,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/HoneyBee_QP1_vs_I23_P23_matched_triptych_view_only.mp4,h264,5760,1080,120/1,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/HoneyBee_QP3_vs_I34_P34_matched_triptych.mkv,ffv1,5760,1080,120/1,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/HoneyBee_QP3_vs_I34_P34_matched_triptych_view_only.mp4,h264,5760,1080,120/1,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/ULong00_QP1_vs_I1_P1_matched_triptych.mkv,ffv1,5760,1080,30/1,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/ULong00_QP1_vs_I1_P1_matched_triptych_view_only.mp4,h264,5760,1080,30/1,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/ULong00_QP3_vs_I11_P10_matched_triptych.mkv,ffv1,5760,1080,30/1,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/ULong00_QP3_vs_I11_P10_matched_triptych_view_only.mp4,h264,5760,1080,30/1,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/ULong01_QP1_vs_I19_P19_matched_triptych.mkv,ffv1,5760,1080,30000/1001,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/ULong01_QP1_vs_I19_P19_matched_triptych_view_only.mp4,h264,5760,1080,30000/1001,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/ULong01_QP3_vs_I28_P28_matched_triptych.mkv,ffv1,5760,1080,30000/1001,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/ULong01_QP3_vs_I28_P28_matched_triptych_view_only.mp4,h264,5760,1080,30000/1001,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/ULong10_QP1_vs_I16_P16_matched_triptych.mkv,ffv1,5760,1080,30000/1001,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/ULong10_QP1_vs_I16_P16_matched_triptych_view_only.mp4,h264,5760,1080,30000/1001,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/ULong10_QP3_vs_I28_P28_matched_triptych.mkv,ffv1,5760,1080,30000/1001,64,PASS
/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/visualizations/ULong10_QP3_vs_I28_P28_matched_triptych_view_only.mp4,h264,5760,1080,30000/1001,64,PASS
