dataset,video,video_id,frame,PSNR,MAE,R_MAE,G_MAE,B_MAE,max_abs_diff
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,0,99.0,0.0,0.0,0.0,0.0,0.0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,99.0,0.0,0.0,0.0,0.0,0.0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,8,99.0,0.0,0.0,0.0,0.0,0.0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,16,99.0,0.0,0.0,0.0,0.0,0.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,0,99.0,0.0,0.0,0.0,0.0,0.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,99.0,0.0,0.0,0.0,0.0,0.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,8,99.0,0.0,0.0,0.0,0.0,0.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,16,99.0,0.0,0.0,0.0,0.0,0.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,0,99.0,0.0,0.0,0.0,0.0,0.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,99.0,0.0,0.0,0.0,0.0,0.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,8,99.0,0.0,0.0,0.0,0.0,0.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,16,99.0,0.0,0.0,0.0,0.0,0.0
uvg,Beauty,0,0,99.0,0.0,0.0,0.0,0.0,0.0
uvg,Beauty,0,1,99.0,0.0,0.0,0.0,0.0,0.0
uvg,Beauty,0,8,99.0,0.0,0.0,0.0,0.0,0.0
uvg,Beauty,0,16,99.0,0.0,0.0,0.0,0.0,0.0
uvg,Bosphorus,1,0,99.0,0.0,0.0,0.0,0.0,0.0
uvg,Bosphorus,1,1,99.0,0.0,0.0,0.0,0.0,0.0
uvg,Bosphorus,1,8,99.0,0.0,0.0,0.0,0.0,0.0
uvg,Bosphorus,1,16,99.0,0.0,0.0,0.0,0.0,0.0
uvg,HoneyBee,2,0,99.0,0.0,0.0,0.0,0.0,0.0
uvg,HoneyBee,2,1,99.0,0.0,0.0,0.0,0.0,0.0
uvg,HoneyBee,2,8,99.0,0.0,0.0,0.0,0.0,0.0
uvg,HoneyBee,2,16,99.0,0.0,0.0,0.0,0.0,0.0
