dataset,video,video_id,frame,channel,mean,std,min,max
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,0,R,122.24832802854938,96.76129803593977,0,255
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,0,G,89.4650569058642,88.7349683249673,0,255
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,0,B,55.36026427469136,74.66183240545355,0,255
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,R,123.78983362268518,94.7524288302601,0,255
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G,91.02510513117284,86.76397419945461,0,255
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,B,57.19567804783951,72.99862063105562,0,255
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,8,R,136.63940538194444,70.60560579862205,0,255
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,8,G,111.12376350308642,63.90650299849412,0,255
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,8,B,79.30422646604939,53.60432787829346,0,255
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,16,R,152.79445119598765,51.83785600205497,0,255
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,16,G,138.8634302662037,44.70861171257369,0,255
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,16,B,108.57985001929012,50.57142538744826,0,255
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,0,R,55.72791039737654,38.06137436940243,0,181
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,0,G,64.34240210262345,44.16372332411218,0,211
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,0,B,29.60096209490741,36.366529370681825,0,193
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,R,55.82469087577161,38.07682112175291,0,181
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G,64.39460358796296,44.1628916408087,0,211
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,B,29.713379629629628,36.359884056381915,0,193
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,8,R,56.48915219907408,38.233201989500806,0,186
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,8,G,65.02905092592593,44.49103396836903,0,216
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,8,B,30.213324170524693,36.448808142396125,0,193
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,16,R,56.83078944830247,38.37928691350375,0,182
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,16,G,64.97851128472222,44.368934626582195,0,212
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,16,B,30.957064525462965,36.872833782442726,0,192
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,0,R,171.87114390432097,29.823801952283244,0,255
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,0,G,175.60455439814814,31.434348596650274,0,255
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,0,B,176.9318253279321,35.941479458624634,5,255
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,R,171.2743349729938,30.58088150661312,0,255
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G,174.82933786651233,32.02064638725045,0,255
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,B,176.38231819058643,36.318519697546236,4,255
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,8,R,163.60279899691358,35.47744093198216,0,255
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,8,G,168.64427276234568,36.8587269673965,2,255
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,8,B,171.45459249614197,40.479670719908725,7,255
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,16,R,152.4762712191358,38.822244075459196,0,255
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,16,G,161.8415340470679,43.39800350341772,0,255
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,16,B,166.42073061342592,47.43727455791679,0,255
uvg,Beauty,0,0,R,67.82901138117283,43.04379901057296,16,214
uvg,Beauty,0,0,G,118.13087384259259,9.450161246108369,88,140
uvg,Beauty,0,0,B,139.60629436728394,11.630712858637526,119,193
uvg,Beauty,0,1,R,67.93058400848766,43.1176577843133,15,213
uvg,Beauty,0,1,G,118.13601080246913,9.454146992285192,93,140
uvg,Beauty,0,1,B,139.6134915123457,11.6308327694621,119,193
uvg,Beauty,0,8,R,68.36136863425926,43.17908124982514,16,213
uvg,Beauty,0,8,G,118.17125385802468,9.329401704253147,92,140
uvg,Beauty,0,8,B,139.5604301697531,11.507648833807798,119,194
uvg,Beauty,0,16,R,67.59877604166667,42.32859755479302,16,212
uvg,Beauty,0,16,G,118.26657793209877,9.24164292666059,91,140
uvg,Beauty,0,16,B,139.52064043209876,11.446033393889966,119,193
uvg,Bosphorus,1,0,R,155.6263102816358,28.366208300303548,54,239
uvg,Bosphorus,1,0,G,139.59634837962963,5.384705508149525,106,165
uvg,Bosphorus,1,0,B,119.12349729938272,6.100927211994708,41,190
uvg,Bosphorus,1,1,R,155.64633391203705,28.370843963413797,54,239
uvg,Bosphorus,1,1,G,139.59524112654321,5.385233163622558,106,165
uvg,Bosphorus,1,1,B,119.12288387345679,6.093470582167688,38,188
uvg,Bosphorus,1,8,R,155.77337625385803,28.387686023648026,54,240
uvg,Bosphorus,1,8,G,139.60780285493829,5.37587228018507,105,165
uvg,Bosphorus,1,8,B,119.0947762345679,6.071885387317448,39,190
uvg,Bosphorus,1,16,R,155.87319830246915,28.510080583250794,53,241
uvg,Bosphorus,1,16,G,139.62735532407407,5.369269819929686,104,165
uvg,Bosphorus,1,16,B,119.0596913580247,6.074619728263798,39,190
uvg,HoneyBee,2,0,R,85.69744791666666,25.447343426541643,26,219
uvg,HoneyBee,2,0,G,139.6777912808642,21.45570792600719,93,181
uvg,HoneyBee,2,0,B,130.49295331790123,6.117143212727011,116,154
uvg,HoneyBee,2,1,R,85.69990113811728,25.44347804125657,28,219
uvg,HoneyBee,2,1,G,139.680675154321,21.450086495286627,96,180
uvg,HoneyBee,2,1,B,130.4886574074074,6.117818494832675,115,153
uvg,HoneyBee,2,8,R,85.70835889274692,25.4395764796466,26,218
uvg,HoneyBee,2,8,G,139.68579668209875,21.441807310366737,95,179
uvg,HoneyBee,2,8,B,130.4893036265432,6.115786830045487,116,153
uvg,HoneyBee,2,16,R,85.69898051697531,25.440291402078934,28,218
uvg,HoneyBee,2,16,G,139.69107060185186,21.444352973044335,95,180
uvg,HoneyBee,2,16,B,130.4968788580247,6.1246392168233506,116,152
