dataset,video,video_id,frame,normal_PSNR,normal_MAE,normal_R_MAE,normal_G_MAE,normal_B_MAE,normal_max_abs_diff,swapped_PSNR,swapped_MAE,swapped_R_MAE,swapped_G_MAE,swapped_B_MAE,swapped_max_abs_diff,possible_rgb_bgr_swap
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,0,99.0,0.0,0.0,0.0,0.0,0.0,10.26918130288702,44.75105999228395,67.12658998842592,0.0,67.12658998842592,255.0,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,99.0,0.0,0.0,0.0,0.0,0.0,10.337342637594869,44.564140625,66.8462109375,0.0,66.8462109375,255.0,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,8,99.0,0.0,0.0,0.0,0.0,0.0,11.72380153724123,39.2153314686214,58.8229972029321,0.0,58.8229972029321,255.0,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,16,99.0,0.0,0.0,0.0,0.0,0.0,13.512463939744151,31.120894740226337,46.68134211033951,0.0,46.68134211033951,241.0,False
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,0,99.0,0.0,0.0,0.0,0.0,0.0,18.868183449393317,18.279355709876544,27.419033564814814,0.0,27.419033564814814,123.0,False
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,99.0,0.0,0.0,0.0,0.0,0.0,18.87413601722864,18.272423804012345,27.40863570601852,0.0,27.40863570601852,123.0,False
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,8,99.0,0.0,0.0,0.0,0.0,0.0,18.823553044299327,18.385473572530863,27.578210358796298,0.0,27.578210358796298,123.0,False
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,16,99.0,0.0,0.0,0.0,0.0,0.0,18.912392140487206,18.146934799382716,27.220402199074073,0.0,27.220402199074073,120.0,False
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,0,99.0,0.0,0.0,0.0,0.0,0.0,21.762206549889754,13.66017907664609,20.490268614969136,0.0,20.490268614969136,142.0,False
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,99.0,0.0,0.0,0.0,0.0,0.0,21.853670350651253,13.435003215020576,20.152504822530865,0.0,20.152504822530865,137.0,False
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,8,99.0,0.0,0.0,0.0,0.0,0.0,21.669601536612397,13.349720614711934,20.0245809220679,0.0,20.0245809220679,139.0,False
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,16,99.0,0.0,0.0,0.0,0.0,0.0,20.793082482006188,14.205645897633746,21.308468846450616,0.0,21.308468846450616,140.0,False
uvg,Beauty,0,0,10.218677447492981,65.0861590149177,22.47517119984568,72.26138985339506,100.52191599151234,159.0,11.117762863531402,57.477967785493824,71.6246522955247,72.26138985339506,28.547861207561727,137.0,True
uvg,Beauty,0,1,10.224481357962375,65.03605709876543,22.496798804012347,72.21584346064814,100.3955290316358,158.0,11.120837241285077,57.435751028806585,71.57104504243827,72.21584346064814,28.520364583333333,138.0,True
uvg,Beauty,0,8,10.268475590135544,64.62975405092592,22.386098090277777,71.75195264274691,99.75121141975309,159.0,11.158617396825662,57.067174639917695,71.07243393132715,71.75195264274691,28.377137345679014,138.0,True
uvg,Beauty,0,16,10.246684849120783,64.83905092592593,22.105894097222222,71.99430555555556,100.416953125,161.0,11.157576061480217,57.188617219650205,71.2619463734568,71.99430555555556,28.30959972993827,138.0,True
uvg,Bosphorus,1,0,14.273851569798556,38.42723685056584,11.960602816358024,33.800187114197534,69.52092062114197,214.0,16.119618429194716,33.179436246141975,36.017131076388885,33.800187114197534,29.720990547839506,133.0,True
uvg,Bosphorus,1,1,14.271303047161311,38.44336242926955,11.955598476080247,33.82954234182099,69.5449464699074,217.0,16.116412582674933,33.19819942772634,36.042721354166666,33.82954234182099,29.72233458719136,132.0,True
uvg,Bosphorus,1,8,14.25160242230248,38.55881799768518,11.96772231867284,33.95537422839506,69.75335744598766,216.0,16.098665247694974,33.301702192644036,36.18227237654321,33.95537422839506,29.767459972993827,132.0,True
uvg,Bosphorus,1,16,14.220905113396382,38.729341885288065,11.987755594135802,34.17696759259259,70.0233024691358,216.0,16.069380494950035,33.46746881430041,36.399916087962964,34.17696759259259,29.825522762345678,132.0,True
uvg,HoneyBee,2,0,13.048544444277553,43.889977655607,10.374415027006172,67.03652054398148,54.25899739583333,161.0,12.418782410368745,53.937221418467075,50.813069540895064,67.03652054398148,43.962074170524694,161.0,False
uvg,HoneyBee,2,1,13.049509655052756,43.88899482381687,10.375895061728395,67.03493730709877,54.25615210262346,165.0,12.419603111170215,53.932458043981484,50.80761525848765,67.03493730709877,43.95482156635803,165.0,False
uvg,HoneyBee,2,8,13.051522952060918,43.87882667824074,10.368555169753087,67.03439670138889,54.233528163580246,163.0,12.420860131636795,53.92761590149177,50.80499469521605,67.03439670138889,43.94345630787037,163.0,False
uvg,HoneyBee,2,16,13.049622505592477,43.88801456404321,10.379704861111112,67.0622511574074,54.222087673611114,169.0,12.418667688867062,53.94166843492798,50.808128858024695,67.0622511574074,43.95462528935185,169.0,False
