dataset,video,video_id,frame,stage,shape,dtype,min,max,mean,channel_order
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,0,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,255.0,89.02454376220703,NCHW RGB
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,0,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.0,1.0,0.34911587834358215,NCHW RGB
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,0,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-1.0,1.0,-0.3017682135105133,NCHW RGB
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,0,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,255.0,89.02454376220703,NCHW RGB
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,255.0,90.67020416259766,NCHW RGB
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.0,1.0,0.35556942224502563,NCHW RGB
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-1.0,1.0,-0.28886112570762634,NCHW RGB
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,255.0,90.67020416259766,NCHW RGB
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,8,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,255.0,109.0224609375,NCHW RGB
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,8,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.0,1.0,0.4275391101837158,NCHW RGB
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,8,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-1.0,1.0,-0.14492180943489075,NCHW RGB
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,8,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,255.0,109.0224609375,NCHW RGB
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,16,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,255.0,133.41256713867188,NCHW RGB
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,16,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.0,1.0,0.5231865644454956,NCHW RGB
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,16,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-1.0,1.0,0.04637317731976509,NCHW RGB
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,16,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,255.0,133.41256713867188,NCHW RGB
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,0,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,211.0,49.89042282104492,NCHW RGB
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,0,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.0,0.8274509906768799,0.19564871490001678,NCHW RGB
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,0,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-1.0,0.6549019813537598,-0.6087024807929993,NCHW RGB
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,0,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,211.0,49.89042282104492,NCHW RGB
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,211.0,49.97755813598633,NCHW RGB
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.0,0.8274509906768799,0.1959904283285141,NCHW RGB
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-1.0,0.6549019813537598,-0.6080191731452942,NCHW RGB
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,211.0,49.97755813598633,NCHW RGB
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,8,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,216.0,50.57717514038086,NCHW RGB
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,8,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.0,0.8470588326454163,0.19834187626838684,NCHW RGB
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,8,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-1.0,0.6941176652908325,-0.6033163070678711,NCHW RGB
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,8,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,216.0,50.57717514038086,NCHW RGB
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,16,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,212.0,50.922122955322266,NCHW RGB
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,16,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.0,0.8313725590705872,0.19969461858272552,NCHW RGB
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,16,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-1.0,0.6627451181411743,-0.6006107926368713,NCHW RGB
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,16,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,212.0,50.922122955322266,NCHW RGB
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,0,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,255.0,174.8025360107422,NCHW RGB
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,0,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.0,1.0,0.6855000853538513,NCHW RGB
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,0,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-1.0,1.0,0.3710000813007355,NCHW RGB
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,0,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,255.0,174.8025360107422,NCHW RGB
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,255.0,174.16200256347656,NCHW RGB
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.0,1.0,0.6829882860183716,NCHW RGB
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-1.0,1.0,0.365976482629776,NCHW RGB
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,255.0,174.16200256347656,NCHW RGB
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,8,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,255.0,167.9005584716797,NCHW RGB
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,8,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.0,1.0,0.6584335565567017,NCHW RGB
