dataset,video,video_id,frame,visualization_path,visual_vs_pipeline_PSNR,visual_vs_pipeline_MAE,visual_vs_pipeline_R_MAE,visual_vs_pipeline_G_MAE,visual_vs_pipeline_B_MAE,visual_vs_pipeline_max_abs_diff,visual_vs_ffmpeg_PSNR,visual_vs_ffmpeg_MAE,visual_vs_ffmpeg_R_MAE,visual_vs_ffmpeg_G_MAE,visual_vs_ffmpeg_B_MAE,visual_vs_ffmpeg_max_abs_diff,source_panel_matches_pipeline
uvg,Beauty,0,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/visualizations/uvg_00_qp1_beta_high_comparison.mp4,37.72541709381659,2.2725668724279835,2.6779706790123456,2.1780401234567903,1.9616898148148147,73.0,10.336427580820402,64.29135030864198,22.52236111111111,71.01466820987655,99.33702160493827,146.0,True
uvg,Beauty,0,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/visualizations/uvg_00_qp1_beta_high_comparison.mp4,37.67662697915562,2.2934130658436214,2.714567901234568,2.212854938271605,1.9528163580246913,71.0,10.339531705720272,64.27222479423868,22.600524691358025,70.9647762345679,99.25137345679012,146.0,True
uvg,Beauty,0,8,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/visualizations/uvg_00_qp1_beta_high_comparison.mp4,38.05439030310254,2.205025720164609,2.570516975308642,2.1657484567901233,1.8788117283950618,73.0,10.377251886312326,63.91691100823045,22.433271604938273,70.55533950617284,98.76212191358024,143.0,True
uvg,Beauty,0,16,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/visualizations/uvg_00_qp1_beta_high_comparison.mp4,38.09864798405015,2.219891975308642,2.5484953703703703,2.165787037037037,1.9453935185185185,72.0,10.362052284219832,64.09023919753086,22.233703703703704,70.78796296296296,99.24905092592593,147.0,True
uvg,Bosphorus,1,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/visualizations/uvg_01_qp1_beta_high_comparison.mp4,35.85781179075742,2.620172325102881,3.7993904320987655,2.0339506172839505,2.027175925925926,64.0,14.179802458275288,39.085730452674895,12.799452160493827,33.969853395061726,70.48788580246914,178.0,True
uvg,Bosphorus,1,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/visualizations/uvg_01_qp1_beta_high_comparison.mp4,35.82028015047088,2.6161368312757203,3.817507716049383,2.077793209876543,1.9531095679012345,63.0,14.186148175966231,39.132695473251026,13.074606481481482,33.98790895061728,70.33557098765432,176.0,True
uvg,Bosphorus,1,8,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/visualizations/uvg_01_qp1_beta_high_comparison.mp4,35.56785132742478,2.6708796296296295,3.9684336419753086,2.067391975308642,1.9768132716049382,68.0,14.171630563513872,39.24469135802469,13.180069444444445,34.0727237654321,70.48128086419753,166.0,True
uvg,Bosphorus,1,16,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/visualizations/uvg_01_qp1_beta_high_comparison.mp4,35.47098339226445,2.714781378600823,3.9883333333333333,2.089212962962963,2.066797839506173,66.0,14.134913358879464,39.40466049382716,13.041118827160494,34.31711419753086,70.85574845679012,158.0,True
uvg,HoneyBee,2,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/visualizations/uvg_02_qp1_beta_high_comparison.mp4,36.015072738158565,2.7958307613168722,3.659405864197531,2.2856635802469136,2.4424228395061727,59.0,13.178121559386442,43.44812757201646,11.078657407407407,65.59554783950617,53.6701774691358,147.0,True
uvg,HoneyBee,2,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/visualizations/uvg_02_qp1_beta_high_comparison.mp4,35.941091422463536,2.827770061728395,3.6745524691358025,2.336242283950617,2.4725154320987652,59.0,13.177763570678406,43.46073302469136,11.10491512345679,65.59770061728395,53.67958333333333,147.0,True
uvg,HoneyBee,2,8,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/visualizations/uvg_02_qp1_beta_high_comparison.mp4,35.927463720618704,2.825468106995885,3.6808256172839506,2.3302237654320987,2.465354938271605,59.0,13.17824497132888,43.45419495884774,11.088055555555556,65.61875771604939,53.65577160493827,147.0,True
uvg,HoneyBee,2,16,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/visualizations/uvg_02_qp1_beta_high_comparison.mp4,35.94150568524856,2.8114120370370372,3.6807716049382715,2.3075308641975307,2.4459336419753086,59.0,13.177020863140221,43.46816100823045,11.125817901234567,65.68833333333333,53.59033179012346,146.0,True
